cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_monster	18	elo_fenbeast
Default_land_infantry_melee	3	elo_albion_warriors
Default_land_infantry_missile	4	elo_youngbloods
Default_land_infantry_melee	8	elo_woadraider
Default_land_infantry_missile	1	elo_bloodhounds
Default_land_monster	25	albion_giant
Default_land_infantry_missile	10	druid_neophytes
Default_land_artillery	4	albion_stonethrower
Default_land_infantry_missile	10	albion_huntresses
Default_land_infantry_spearmen	3	elo_albion_warriors_spears
Default_land_infantry_melee	6	elo_albion_warriors_2h
Default_land_cavalry_melee	7	albion_riders
Default_land_harasser	7	albion_riders_javelins
Default_land_infantry_melee	10	albion_hearthguard
Default_land_infantry_melee	10	albion_hearthguard_halberd
Default_land_infantry_spearmen	15	albion_hearthguard_2h
Default_land_infantry_melee	10	albion_swordmaiden
Default_land_chariot	10	albion_chariot
Default_land_magic	10	albion_truthsayer_beast
Default_land_magic	10	albion_truthsayer_beast_horse
Default_land_magic	10	albion_truthsayer_life
Default_land_magic	10	albion_truthsayer_life_horse
Default_land_magic	10	albion_truthsayer_light
Default_land_magic	10	albion_truthsayer_light_horse
Default_land_cavalry_melee	15	albion_centaurs
Default_land_monster	25	albion_fenhulk
Default_land_magic	10	albion_warleader
Default_land_magic	10	albion_warleader_horse
Default_land_magic	10	albion_warleader_chariot
Default_land_magic	10	albion_chief
Default_land_magic	10	albion_chief_horse
Default_land_magic	10	albion_chief_chariot
Default_land_monster	12	albion_half_giants
Default_land_magic	10	albion_wyrd_druid
Default_land_magic	10	albion_wyrd_druid_horse
