building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/ovn_fimir					
ovn_fimir_agrul_migdhal_landmark	wh_main_effect_economy_gdp_industry	building_to_building_own	1000.0	500.0	0.0
ovn_fimir_beast_2	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_2	wh_dlc08_effect_agent_enable_recruitment_dignitary_norsca	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_2	wh_main_effect_military_force_winds_of_magic_starting_mod	faction_to_force_own	2.0	1.0	0.0
ovn_fimir_beast_3	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend	faction_to_faction_own_unseen	2.0	1.0	0.0
ovn_fimir_beast_3	wh_dlc08_effect_agent_enable_recruitment_dignitary_norsca	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_3	wh_main_effect_military_force_winds_of_magic_starting_mod	faction_to_force_own	4.0	2.0	0.0
ovn_fimir_beast_3	fim_main_effect_agent_xp_increase_balefiend	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_economy_gdp_slaves_def	building_to_building_own	15.0	8.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_decline_modifier	province_to_province_own	-50.0	-25.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_income_modifier	province_to_province_own	25.0	25.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_public_order_modifier	province_to_province_own	-30.0	-15.0	0.0
ovn_fimir_income_1	wh2_main_effect_slave_decline_modifier	province_to_province_own	5.0	4.0	0.0
ovn_fimir_income_1	wh_main_effect_economy_gdp_industry	building_to_building_own	200.0	100.0	0.0
ovn_fimir_income_1	wh_main_effect_public_order_base	province_to_province_own	-2.0	-4.0	0.0
ovn_fimir_income_2	wh2_main_effect_slave_decline_modifier	province_to_province_own	10.0	8.0	0.0
ovn_fimir_income_2	wh_main_effect_economy_gdp_industry	building_to_building_own	300.0	150.0	0.0
ovn_fimir_income_2	wh_main_effect_public_order_base	province_to_province_own	-4.0	-7.0	0.0
ovn_fimir_income_3	wh2_main_effect_slave_decline_modifier	province_to_province_own	15.0	12.0	0.0
ovn_fimir_income_3	wh_main_effect_economy_gdp_industry	building_to_building_own	400.0	200.0	0.0
ovn_fimir_income_3	wh_main_effect_public_order_base	province_to_province_own	-6.0	-10.0	0.0
ovn_Portal_Recruitment_1	wh_main_effect_religion_conversion_chaos	region_to_region_own	1.0	1.0	0.0
ovn_Portal_Recruitment_2	wh_main_effect_religion_conversion_chaos	region_to_region_own	2.0	1.0	0.0
ovn_Portal_Recruitment_3	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	1.0	0.0
ovn_fimir_nor_1	wh_main_effect_religion_conversion_chaos	region_to_region_own	4.0	1.0	0.0
ovn_fimir_nor_1	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	3.0	1.0	0.0
ovn_Portal_Recruitment_3	wh_main_effect_agent_cap_increase_champion_exalted_hero	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_Portal_Recruitment_3	wh_main_effect_agent_enable_recruitment_champion_chaos	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_mil_2	fim_main_effect_agent_enable_recruitment_finmor	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_mil_3	fim_main_effect_agent_enable_recruitment_finmor	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_mil_3	fim_main_effect_agent_xp_increase_finmor	faction_to_province_own	1.0	1.0	0.0
ovn_fimir_mil_4	fim_main_effect_agent_cap_increase_champion_finmor	faction_to_faction_own_unseen	2.0	1.0	0.0
ovn_fimir_mil_4	fim_main_effect_agent_enable_recruitment_finmor	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_mil_4	fim_main_effect_agent_xp_increase_finmor	faction_to_province_own	2.0	1.0	0.0
ovn_fimir_mil_3	fim_main_effect_agent_cap_increase_champion_finmor	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_fimir_marsh_2	enable_recruitment_elo_boglar_shaman	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_marsh_3	enable_recruitment_elo_boglar_shaman	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_marsh_3	increase_xp_elo_boglar_shaman	faction_to_province_own	1.0	1.0	0.0
ovn_fimir_marsh_3	increase_cap_elo_boglar_shaman	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_fimir_marsh_4	enable_recruitment_elo_boglar_shaman	province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_marsh_4	increase_xp_elo_boglar_shaman	faction_to_province_own	2.0	1.0	0.0
ovn_fimir_marsh_4	increase_cap_elo_boglar_shaman	faction_to_faction_own_unseen	2.0	1.0	0.0
ovn_fimir_agent	wh_main_effect_religion_conversion_chaos	region_to_region_own	1.0	1.0	0.0
ovn_fimir_agent_2	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	1.0	0.0
