faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_main_nor_albion	albion_morrigan
general	wh2_main_nor_albion	albion_warleader
general	wh2_main_nor_albion	albion_truthsayer_beast
general	wh2_main_nor_albion	albion_truthsayer_life
general	wh2_main_nor_albion	albion_truthsayer_light
general	wh2_main_nor_albion	albion_truthsayer_truth
wizard	wh2_main_nor_albion	albion_wyrd_druid
champion	wh2_main_nor_albion	albion_chief
colonel	wh2_main_nor_albion	albion_warleader
general	wh2_main_nor_albion	bl_elo_dural_durak
