member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/ovn_ex_norsca_climate	
ovn_ex_norsca_fimir_climate_chaotic	climate_chaotic
ovn_ex_norsca_fimir_climate_desert	climate_desert
ovn_ex_norsca_fimir_climate_frozen	climate_frozen
ovn_ex_norsca_fimir_climate_island	climate_island
ovn_ex_norsca_fimir_climate_jungle	climate_jungle
ovn_ex_norsca_fimir_climate_magicforest	climate_magicforest
ovn_ex_norsca_fimir_climate_mountain	climate_mountain
ovn_ex_norsca_fimir_climate_ocean	climate_ocean
ovn_ex_norsca_fimir_climate_savannah	climate_savannah
ovn_ex_norsca_fimir_climate_temperate	climate_temperate
ovn_ex_norsca_fimir_climate_wasteland	climate_wasteland
ovn_ex_norsca_troll_climate_chaotic	climate_chaotic
ovn_ex_norsca_troll_climate_desert	climate_desert
ovn_ex_norsca_troll_climate_frozen	climate_frozen
ovn_ex_norsca_troll_climate_island	climate_island
ovn_ex_norsca_troll_climate_jungle	climate_jungle
ovn_ex_norsca_troll_climate_magicforest	climate_magicforest
ovn_ex_norsca_troll_climate_mountain	climate_mountain
ovn_ex_norsca_troll_climate_ocean	climate_ocean
ovn_ex_norsca_troll_climate_savannah	climate_savannah
ovn_ex_norsca_troll_climate_temperate	climate_temperate
ovn_ex_norsca_troll_climate_wasteland	climate_wasteland
