melee_weapons_tables	22
bonus_v_cavalry	bonus_v_large	bonus_v_infantry	key	damage	ap_damage	first_strike	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage
0	0	5	halfling_pigs	26	2	0	1.0	sword	claw	small	2	1.0	50	0.0	false		0	10	4.0	
0	0	0	halfling_great_weapons_militia	7	18	0	1.0	axe	axe		1	1.0	14	0.0	false		0	10	4.3	
0	0	0	halfling_meat_tenderizer	9	26	0	1.0	axe	axe		1	1.0	14	0.0	false		0	10	4.3	
0	0	0	baby_sun_dragon	100	300	0	8.0	axe	claw	large	6	1.0	350	1.0	false		0	10	4.0	
0	0	6	halfling_pig_cav	22	6	0	1.0	sword	sword		2	1.0	10	0.0	false		0	10	5.0	
0	10	0	chicken_rider_spear	24	15	0	2.0	lance	spear		1	1.0	10	0.0	false		0	10	4.2	
0	0	0	roasted_pig	0	0	0	0.0	axe	claw	small	1	1.0	0	0.0	false		0	10	3.8	
0	0	20	ovn_souptank	60	70	0	4.0	axe	unarmed	large	4	1.0	40	0.0	false		4	4	4.0	
0	0	0	supply_wagon_elo	22	4	0	3.0	axe	unarmed	very_large	4	1.0	40	0.0	false		3	2	4.0	
0	0	10	ovn_ogre_wep	20	50	0	2.0	axe	club_medium	small	3	1.0	40	0.0	false		0	10	4.1	
