mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
halfling_warfoot	1	29051989	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
halfling_cock	1	29051990	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_main_mtl_veh_soupcart	1	29051991	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
sr_ogre_ror	1	29051992	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
grudgebringer_infantry	1	29051993	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
grudgebringer_cannon	1	29051994	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
grudgebringer_crossbow	1	29051995	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
helmgart_bowmen	1	29051996	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
keelers_longbows	1	29051997	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
dargrimm_firebeard_dwarf_warriors	1	29051998	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
azguz_bloodfist_dwarf_warriors	1	29051999	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
urblab_rotgut_mercenary_ogres	1	29052000	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
treeman_knarlroot	1	29052001	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
galed_elf_archers	1	29052002	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
elrod_wood_elf_glade_guards	1	29052003	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
black_avangers	1	29052004	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
carlsson_cavalry	1	29052005	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
carlsson_guard	1	29052006	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
countess_guard	1	29052007	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
vannheim_75th	1	29052008	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
treeman_gnarl_fist	1	29052009	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
ragnar_wolves	1	29052010	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
ceridan	1	29052011	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
ovn_jag_ror	1	29052012	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
ovn_jez_ror	1	29052013	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
ovn_cat_knights_ror	1	29052014	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
ovn_knights_ror	1	29052015	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
ovn_bom_ror	1	29052016	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
ovn_elephant_ror	1	29052017	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
wh_pro04_nor_mon_marauder_warwolves_ror_0	1	29052018	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
ovn_killing_eye	1	29052019	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_mon_fimir_ror_0	1	29052020	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
ovn_gharnus_demon	1	29052021	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_chs_mon_chaos_spawn_ror_0	1	29052022	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	29052023	ovn_fimir_units_of_renown_pool		wh_main_sc_nor_fimir	
elo_red_avalanche_ugma	1	29052024	ovn_troll_units_of_renown_pool	wh2_main_nor_trollz		
elo_shipwreckers_ugma	1	29052025	ovn_troll_units_of_renown_pool	wh2_main_nor_trollz		
elo_kin_ugma	1	29052026	ovn_troll_units_of_renown_pool	wh2_main_nor_trollz		
elo_night_trolls_ror_ugma	1	29052027	ovn_troll_units_of_renown_pool	wh2_main_nor_trollz		
ovn_arb_mon_war_elephant_ror	1	29052028	ovn_arb_units_of_renown_pool		wh_main_sc_emp_araby	
halfling_cat_ror	1	29052029	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_pro04_chs_art_hellcannon_ror_0	1	29052030	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_chs_cav_chaos_knights_ror_0	1	29052031	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_chs_inf_chaos_warriors_ror_0	1	29052032	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_chs_inf_forsaken_ror_0	1	29052033	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_chs_mon_chaos_spawn_ror_0	1	29052034	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_chs_mon_dragon_ogre_ror_0	1	29052035	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh_pro04_nor_inf_chaos_marauders_ror_0	1	29052036	ovn_rotblood_units_of_renown_pool	wh_dlc08_nor_naglfarlings		
wh2_dlc15_grn_mon_river_trolls_ror_0_ugma	1	29052027	ovn_troll_units_of_renown_pool	wh2_main_nor_trollz		
