character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	elo_belakor_here_to_die	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_02_belakor	1.0		0	0	true
	elo_belakor_ranged	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_03_belakor	2.0		0	0	true
	elo_belakor_cav	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_04_belakor	3.0		0	0	true
	elo_belakor_chaos_infantry	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_05_belakor	4.0		0	0	true
	elo_belakor_conjured_monsters	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_06_belakor	5.0		0	0	true
	elo_belakor_conscripted_beasts	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_06_5_belakor	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_07_belakor	7.0		0	6	true
	elo_belakor_r7_fimir_all	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_08_belakor	8.0		0	0	true
	elo_belakor_ranged_r7	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_09_belakor	9.0		0	0	true
	elo_belakor_cav_bog_r7	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_10_belakor	10.0		0	0	true
	elo_champions_chaos_r7	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_11_belakor	11.0		0	0	true
	wh_dlc08_skill_nor_lords_battle_fight_or_die	node_set_fimir_lord	wh2_main_wef_treeblood	4.0	fimir_lord_battle_12_belakor	12.0		0	1	true
	elo_belakor_here_to_die	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_02	1.0		0	0	true
	elo_belakor_ranged	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_03	2.0		0	0	true
	elo_belakor_cav	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_04	3.0		0	0	true
	elo_belakor_chaos_infantry	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_05	4.0		0	0	true
	elo_belakor_conjured_monsters	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_06	5.0		0	0	true
	elo_belakor_conscripted_beasts	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_07	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_08	7.0		0	6	true
	elo_belakor_r7_fimir_all	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_09	8.0		0	0	true
	elo_belakor_ranged_r7	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_10	9.0		0	0	true
	elo_belakor_cav_bog_r7	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_11	10.0		0	0	true
	elo_champions_chaos_r7	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_12	11.0		0	0	true
	wh_main_skill_chs_lord_battle_stand_or_die	wh_main_skill_node_set_chs_sorcerer_lord_death	wh2_main_wef_treeblood	4.0	belakor_sorcerer_death_battle_13	12.0		0	1	true
	elo_belakor_here_to_die	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_02	1.0		0	0	true
	elo_belakor_ranged	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_03	2.0		0	0	true
	elo_belakor_cav	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_04	3.0		0	0	true
	elo_belakor_chaos_infantry	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_05	4.0		0	0	true
	elo_belakor_conjured_monsters	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_06	5.0		0	0	true
	elo_belakor_conscripted_beasts	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_07	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow	wh2_main_wef_treeblood	4.0	belakor_sorcerer_shadow_battle_08	7.0		0	6	true
