ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
spellcaster	ovn_com_cha_olorin_the_grey_wizard_0
armour_piercing_ranged	ovn_com_cha_olorin_the_grey_wizard_0
armour_piercing_melee	ovn_com_cha_aragand_the_layabout_0
transform	ovn_com_cha_aragand_the_layabout_0
stinking_drunk	ovn_com_cha_aragand_the_layabout_0
armour_piercing_melee	ovn_com_cha_aragand_the_layabout_1
transform	ovn_com_cha_aragand_the_layabout_1
melee_expert	ovn_com_cha_aragand_the_layabout_1
unbreakable	ovn_com_cha_aragand_the_layabout_1
nice_elf	ovn_com_cha_legles_the_elf_0
dodge	ovn_com_cha_legles_the_elf_0
forest_stalker	ovn_com_cha_legles_the_elf_0
wardance	ovn_com_cha_legles_the_elf_0
poor_morale	ovn_com_cha_giblit_the_dwarf_0
armour_piercing_melee	ovn_com_cha_giblit_the_dwarf_0
deathblow	ovn_com_cha_giblit_the_dwarf_0
fast_dwarf	ovn_com_cha_giblit_the_dwarf_0
