pooled_resource_factor	resource_cost	amount
#resource_cost_pooled_resource_junctions_tables;0;db/resource_cost_pooled_resource_junctions_tables/ovn_crafting_araby_slaves		
ovn_araby_victories_lzd	ovn_araby_victories_lzd	-100
ovn_araby_victories_dwarfs	ovn_araby_victories_dwarfs	-100
ovn_araby_victories_def	ovn_araby_victories_def	-100
ovn_araby_victories_hef	ovn_araby_victories_hef	-100
ovn_araby_victories_men	ovn_araby_victories_men	-100
ovn_araby_victories_undead	ovn_araby_victories_undead	-100
ovn_araby_victories_chaos	ovn_araby_victories_chaos	-100
ovn_araby_victories_skv	ovn_araby_victories_skv	-100
ovn_araby_victories_nor	ovn_araby_victories_nor	-100
ovn_araby_victories_we	ovn_araby_victories_we	-100
ovn_araby_victories_grn	ovn_araby_victories_grn	-100
ovn_araby_victories_bst	ovn_araby_victories_bst	-100
ovn_araby_victories_tmb	ovn_araby_victories_tmb	-100
ovn_araby_victories_lzd	ovn_araby_victories_lzd_12	-100
ovn_araby_victories_def	ovn_araby_victories_def_15	-100
ovn_araby_victories_def	ovn_araby_victories_def_10	-100
