uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename
#agent_uniforms_tables;9;db/agent_uniforms_tables/ovn_lost_factions_gold				
elo_carrion_boss	elo_carrion_boss	elo_carrion_boss	elo_carrion_boss	
ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion	
ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	
ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	
ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	
ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	
ovn_arb_cha_nomad_uniform_01	ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_01	
ovn_arb_cha_nomad_uniform_02	ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_02	
ovn_arb_cha_nomad_uniform_03	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03	
ovn_arb_cha_nomad_assassin_uniform_01	ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_01	
ovn_arb_cha_nomad_assassin_uniform_02	ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_02	
ovn_arb_cha_nomad_assassin_uniform_03	ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_03	
ovn_arb_cha_nomad_jezzail_uniform_01	ovn_arb_cha_nomad_jezzail_campaign_01	ovn_arb_cha_nomad_jezzail_01	ovn_arb_cha_nomad_jezzail_01	
ovn_arb_cha_nomad_jezzail_uniform_02	ovn_arb_cha_nomad_jezzail_campaign_02	ovn_arb_cha_nomad_jezzail_02	ovn_arb_cha_nomad_jezzail_02	
ovn_arb_cha_nomad_jezzail_uniform_03	ovn_arb_cha_nomad_jezzail_campaign_03	ovn_arb_cha_nomad_jezzail_03	ovn_arb_cha_nomad_jezzail_03	
ovn_araby_ll_mount	ovn_araby_ll_mount	ovn_araby_ll_mount	ovn_araby_ll	
ovn_araby_ll	ovn_araby_ll	ovn_araby_ll	ovn_araby_ll	
ovn_araby_ll_2	ovn_araby_ll_2	ovn_araby_ll_2	ovn_araby_ll_2	
belakor	belakor	belakor	belakor	
albion_morrigan	albion_morrigan	albion_morrigan	albion_morrigan	
albion_warleader	albion_warleader	albion_warleader	albion_warleader	
albion_truthsayer_beast	albion_truthsayer_beast	albion_truthsayer_beast	albion_truthsayer_beast	
albion_truthsayer_life	albion_truthsayer_life	albion_truthsayer_life	albion_truthsayer_life	
albion_truthsayer_light	albion_truthsayer_light	albion_truthsayer_light	albion_truthsayer_light	
albion_truthsayer_truth	albion_truthsayer_truth	albion_truthsayer_truth	albion_truthsayer_truth	
albion_wyrd_druid	albion_wyrd_druid	albion_wyrd_druid	albion_wyrd_druid	
albion_chief	albion_chief_campaign	albion_chief	albion_chief	
bl_elo_dural_durak	bl_elo_dural_durak	bl_elo_dural_durak	bl_elo_dural_durak	
elo_dread_centurion	elo_dread_centurion	elo_dread_centurion	elo_dread_centurion	
elo_dread_larenscheld	elo_dread_larenscheld	elo_dread_larenscheld	elo_dread_larenscheld	
