effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
enable_run_and_shakeoff	enable	run_and_shakeoff
enable_frenzy	enable	wh_main_unit_passive_frenzy
enable_stoneskin	enable	rock_solid
sickness_host	enable	sickness_host
enable_elo_troll_me_boss_now	enable	elo_troll_me_boss_now
enable_elo_lesser_vomit	enable	elo_lesser_vomit
enable_elo_violent_command	enable	elo_violent_command
enable_elo_greater_swamp_breath	enable	elo_greater_swamp_breath
enable_wh_main_hero_passive_swarm_of_flies	enable	wh_main_hero_passive_swarm_of_flies
