key	state	sort_order
#ui_unit_bullet_point_enums_tables;3;db/ui_unit_bullet_point_enums_tables/ovn		
finmor	positive	90
belakor_blessed	positive	91
disturbed	positive	90
nice_elf	positive	40
stinking_drunk	negative	152
soup_cannon	positive	0
poor_ranged_damage	negative	152
whirling_pans	positive	0
demonic_flesh	positive	0
uncontrollable_rage	negative	0
unstable_form	positive	0
gunther_schepke	positive	0
shield_of_ptolos	positive	0
hellfire_sword	positive	0
wolfgang_schwartzkopf	positive	0
grudgebringer_sword	positive	0
enchanted_shield	positive	0
spelleater_shield	positive	0
ungrunn_dragonbane_order	positive	0
deal_with_the_emperor	positive	0
morgan_bernhardt	positive	0
willem_fletcher	positive	0
azguz_bloodfist	positive	0
dargrimm_firebeard	positive	0
rune_weapon	positive	0
necromantic_anchor	positive	0
elo_only_bones	positive	0
embalmed_bodies	positive	0
curse_of_the_mummy	positive	0
woad_paint	positive	0
disciplined	positive	0
devestating_charge	positive	0
incredible_will	positive	0
something_prove	positive	0
servants_lugh	positive	0
cant_fight	negative	0
support_unit	positive	0
bad_air_duelist	negative	0
baby_dragon_breath	positive	0
no_regeneration	negative	215
burning_aura	positive	0
horrible_stench	positive	0
rock_solid	positive	0
death_stench	positive	0
throgg_orders	positive	0
difficult_to_spot	positive	0
weak_regeneration	positive	0
host_illnesses	positive	0
big_angry	positive	0
warpstone_solid	positive	0
contaminating_attacks	positive	0
troll_fodder	negative	0
mocking_laughter	positive	0
amazon_venom	positive	10
amazon_mac	positive	15
hero_led	positive	0
golden_magus_djinn_skiff_bodyguards	positive	0
battle_recipes	positive	0
missile_weakness	negative	0
nurglite	positive	5
ovn_rot_plague_spreader	positive	0
ovn_bombard_siege_bonus	positive	5
woolly_coat	positive	0
teefin'	positive	0
elo_daemonic	positive	0
elo_contaminating_attacks	positive	0
rot_afflicted	positive	0
