special_ability_phase_stat_effects_tables	3
phase	value	stat	how
horrible_stench	-6.0	stat_melee_attack	add
horrible_stench	-6.0	stat_melee_defence	add
rock_solid	25.0	stat_resistance_magic	add
rock_solid	30.0	stat_resistance_physical	add
rock_solid	40.0	stat_morale	add
death_stench	-8.0	stat_melee_attack	add
death_stench	-8.0	stat_morale	add
death_stench	-8.0	stat_melee_defence	add
run_and_shakeoff	1.24	scalar_speed	mult
run_and_shakeoff	1.18	stat_charge_bonus	mult
run_and_shakeoff	50.0	stat_resistance_missile	add
order_protect	15.0	stat_resistance_all	add
order_squish	8.0	stat_melee_attack	add
order_squish	25.0	stat_bonus_vs_infantry	add
order_aim_higher	1.2	stat_melee_damage_ap	mult
order_aim_higher	25.0	stat_bonus_vs_large	add
order_catch	1.3	scalar_speed	mult
order_protect	8.0	stat_melee_defence	add
stunted_regeneration	-25.0	stat_weakness_flame	add
sickness_host	-10.0	stat_morale	add
sickness_host	-15.0	stat_resistance_physical	add
sickness_host	0.7	scalar_speed	mult
sickness_host	-15.0	stat_resistance_magic	add
temper_tantrum	15.0	stat_melee_attack	add
temper_tantrum	2.0	stat_melee_damage_ap	mult
temper_tantrum	2.0	stat_melee_damage_base	mult
temper_tantrum	15.0	stat_resistance_physical	add
warpstone_solid	40.0	stat_resistance_all	add
