key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/ovn_lost_factions_gold			
ovn_trait_defeated_olorin_the_grey_wizard	1	ovn_trait_defeated_olorin_the_grey_wizard	1
grudge_trait_name_dummy_vladimir_stormbringer	1	grudge_trait_name_dummy_vladimir_stormbringer	1
grudge_trait_name_dummy_luther_flamestrike	1	grudge_trait_name_dummy_luther_flamestrike	1
grudge_trait_name_dummy_alloy	1	grudge_trait_name_dummy_alloy	1
grudge_trait_name_dummy_gunther	1	grudge_trait_name_dummy_gunther	1
grudge_trait_name_dummy_ubersbrom	1	grudge_trait_name_dummy_ubersbrom	1
ovn_harkon_lord_trait	1	ovn_harkon_lord_trait	1
dk_trait_name_dummy	1	dk_trait_name_dummy	1
fim_skattach_defeated_trait	1	fim_skattach_defeated_trait	1
arb_fatandira_defeated_trait	1	arb_fatandira_defeated_trait	1
arb_golden_magus_defeated_trait	1	arb_golden_magus_defeated_trait	1
hlf_glibfoot_defeated_trait	1	hlf_glibfoot_defeated_trait	1
arb_jaffar_defeated_trait	1	arb_jaffar_defeated_trait	1
ovn_trait_rasknitt	1	ovn_trait_rasknitt	1
ovn_bl_elo_dural_durak_defeat_trait	1	ovn_bl_elo_dural_durak_defeat_trait	1
ovn_albion_morrigan_defeat_trait	1	ovn_albion_morrigan_defeat_trait	1
ovn_ovn_stormrider_defeat_trait	1	ovn_ovn_stormrider_defeat_trait	1
ovn_ribspreader_defeat_trait	1	ovn_ribspreader_defeat_trait	1
ovn_elo_chief_ugma_defeat_trait	1	ovn_elo_chief_ugma_defeat_trait	1
ovn_morgan_bernhardt_defeat_trait	1	ovn_morgan_bernhardt_defeat_trait	1
ovn_belakor_defeat_trait	1	ovn_belakor_defeat_trait	1
ovn_Dread_King_defeat_trait	1	ovn_Dread_King_defeat_trait	1
ovn_warrhak_skullcrusher_defeat_trait	1	ovn_warrhak_skullcrusher_defeat_trait	1
ovn_drazhoath_the_ashen_defeat_trait	1	ovn_drazhoath_the_ashen_defeat_trait	1
ovn_rykarth_the_unbreakable_defeat_trait	1	ovn_rykarth_the_unbreakable_defeat_trait	1
ovn_zhatan_the_black_defeat_trait	1	ovn_zhatan_the_black_defeat_trait	1
wh2_main_trait_defeated_walach	1	wh2_main_trait_defeated_walach	1
