character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
arb_vizier_administrator	wh_skill_node_arb_vizier_fire_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_fire_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_fire_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_fire_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_fire_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_fire_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_life_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_life_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_life_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_life_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_life_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_life_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_heavens_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_heavens_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_heavens_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_heavens_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_heavens_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_heavens_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_desert_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_desert_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_desert_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_desert_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_desert_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_desert_uniques_02	1
