ui_unit_groupings_tables	1
icon	key	parent_group
grudgebringer_infantry	grudgebringer_infantry	infantry
grudgebringer_cannon	grudgebringer_cannon	artillery_war_machines
grudgebringer_cavalry	grudgebringer_cavalry	cavalry_chariots
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry
keelers_longbows	keelers_longbows	missile_infantry
dargrimm_firebeard_dwarf_warriors	dargrimm_firebeard_dwarf_warriors	infantry
azguz_bloodfist_dwarf_warriors	azguz_bloodfist_dwarf_warriors	infantry
urblab_rotgut_mercenary_ogres	urblab_rotgut_mercenary_ogres	monster_beasts
treeman_knarlroot	treeman_knarlroot	monster_beasts
galed_elf_archers	galed_elf_archers	missile_infantry
elrod_wood_elf_glade_guards	elrod_wood_elf_glade_guards	infantry
black_avangers	black_avangers	infantry
carlsson_cavalry	carlsson_cavalry	cavalry_chariots
carlsson_guard	carlsson_guard	infantry
countess_guard	countess_guard	infantry
vannheim_75th	vannheim_75th	cavalry_chariots
treeman_gnarl_fist	treeman_gnarl_fist	monster_beasts
wh_dlc08_nor_chaos_war_mammoth	ovn_elephant	rare_monsters_beasts
wh2_dlc09_tmb_scorpion	ovn_scor	monster_beasts
