special_ability_phase_stat_effects_tables	3
phase	value	stat	how
whispers_in_the_darkness	-4.0	stat_morale	add
wh_main_unit_contact_shadow	0.9	scalar_missile_damage_ap	mult
wh_main_unit_contact_shadow	0.9	scalar_missile_damage_base	mult
wh_main_unit_contact_shadow	0.86	scalar_speed	mult
wh_main_unit_contact_shadow	0.6	stat_melee_damage_ap	mult
wh_main_unit_contact_shadow	0.79	stat_melee_damage_base	mult
Violent_rise_to_power_1	1.25	stat_melee_damage_ap	mult
Violent_rise_to_power_2	1.3	stat_melee_damage_ap	mult
Violent_rise_to_power_3	1.45	stat_melee_damage_ap	mult
uncontrollable_rage	1.1	stat_melee_damage_base	mult
uncontrollable_rage	1.1	stat_melee_damage_ap	mult
uncontrollable_rage	1.2	scalar_speed	mult
