technology_effects_junction_tables	0
technology	effect	effect_scope	value
tech_dlc07_brt_heraldry_errantry	wh2_main_diplomatic_relations_crusaders_bad	faction_to_faction_own_unseen	-50.0
tech_dlc07_brt_heraldry_errantry	wh2_main_diplomatic_relations_crusaders	faction_to_faction_own_unseen	150.0
tech_dlc07_brt_heraldry_errantry	wh_dlc07_effect_chivalry_technology	faction_to_faction_own_unseen	50.0
tech_ovn_hlf_soup_1	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	5.0
tech_ovn_hlf_soup_1	wh2_main_effect_ability_enable_regeneration	faction_to_force_own	1.0
tech_ovn_hlf_soup_1	wh2_main_effect_diplomacy_bonus_humans_elves	faction_to_faction_own_unseen	-25.0
tech_ovn_hlf_soup_1	wh_main_faction_diplomacy_penalty_dwarfs	faction_to_faction_own_unseen	5.0
tech_ovn_hlf_soup_1	wh_main_effect_religion_conversion_chaos_events_bad	faction_to_province_own	2.0
tech_ovn_hlf_soup_2	ovn_buff_soup_art	faction_to_force_own_unseen	12.0
tech_ovn_hlf_soup_3	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-5.0
tech_ovn_hlf_soup_4	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-5.0
tech_ovn_hlf_soup_4	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	6.0
tech_ovn_troll_1	elo_all_trolls_up	faction_to_force_own_unseen	-5.0
tech_ovn_troll_1	ovn_cost_trolls	faction_to_force_own_unseen	-10.0
tech_ovn_troll_2	elo_all_trolls_moral	faction_to_force_own_unseen	8.0
tech_ovn_troll_3	elo_all_trolls_ma	faction_to_force_own_unseen	10.0
tech_ovn_troll_4	elo_all_trolls_moral	faction_to_force_own_unseen	6.0
tech_ovn_troll_4	elo_all_trolls_mis_res	faction_to_force_own_unseen	6.0
tech_ovn_troll_4	elo_all_trolls_replen	faction_to_force_own_unseen	6.0
tech_ovn_troll_5	elo_all_trolls_mdef	faction_to_force_own_unseen	10.0
tech_ovn_troll_6	elo_all_trolls_replen	faction_to_force_own_unseen	20.0
tech_ovn_troll_7	wh_main_effect_province_tax_rate	faction_to_province_own	50.0
