effect_bonus_value_agent_subtype_junctions_tables	0
bonus_value_id	effect	subtype
availability	wh_main_effect_agent_enable_recruitment_fieldwarden	ovn_hlf_fieldwarden
cap	wh_main_effect_agent_cap_increase_spy_fieldwarden	ovn_hlf_fieldwarden
recruitment_level	wh_main_effect_agent_cap_increase_fieldwarden_level	ovn_hlf_fieldwarden
availability	wh_main_effect_agent_enable_recruitment_master_chef	ovn_hlf_master_chef
cap	wh_main_effect_agent_cap_increase_dignatary_master_chef	ovn_hlf_master_chef
recruitment_level	wh_main_effect_agent_cap_increase_master_chef_level	ovn_hlf_master_chef
availability	wh_main_effect_agent_enable_recruitment_sheriff	ovn_hlf_sheriff
cap	wh_main_effect_agent_cap_increase_champion_sheriff	ovn_hlf_sheriff
recruitment_level	wh_main_effect_agent_cap_increase_sheriff_level	ovn_hlf_sheriff
