unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
charge_reflector_vs_large	ovn_fimm_guard
causes_fear	ovn_fimm_guard
causes_fear	ovn_mistmor
wallbreaker	ovn_mistmor
causes_fear	ovn_fianna_fimm
charge_reflector	ovn_fianna_fimm
causes_terror	ovn_mistmor
encourages	ovn_fianna_fimm
strider	ovn_fianna_fimm
causes_fear	ovn_shearl
expendable	ovn_shearl
hide_forest	ovn_shearl
causes_fear	ovn_death_quest
rampage	ovn_death_quest
hide_forest	ovn_death_quest
causes_fear	ovn_killing_eye
hide_forest	ovn_killing_eye
unbreakable	ovn_killing_eye
rampage	ovn_killing_eye
