ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armour_piercing	elo_dread_centurion
armoured	elo_dread_centurion
anti_large	elo_dread_centurion
armour_piercing	elo_dread_centurion_horse
armoured	elo_dread_centurion_horse
anti_large	elo_dread_centurion_horse
armour_piercing	elo_dread_centurion_barded_horse
armoured	elo_dread_centurion_barded_horse
anti_large	elo_dread_centurion_barded_horse
armour_piercing	elo_dread_centurion_chariot
armoured	elo_dread_centurion_chariot
anti_infantry	elo_dread_centurion_chariot
