agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_marienburg_subtypes		
champion	wh_main_emp_marienburg_rebels	emp_captain
colonel	wh_main_emp_marienburg_rebels	emp_lord
dignitary	wh_main_emp_marienburg_rebels	emp_warrior_priest
engineer	wh_main_emp_marienburg_rebels	default
general	wh_main_emp_marienburg_rebels	dlc04_emp_arch_lector
general	wh_main_emp_marienburg_rebels	emp_lord
general	wh_main_emp_marienburg_rebels	wh2_dlc13_emp_cha_huntsmarshal_0
minister	wh_main_emp_marienburg_rebels	default
runesmith	wh_main_emp_marienburg_rebels	default
spy	wh_main_emp_marienburg_rebels	emp_witch_hunter
wizard	wh_main_emp_marienburg_rebels	dlc03_emp_amber_wizard
wizard	wh_main_emp_marienburg_rebels	dlc05_emp_grey_wizard
wizard	wh_main_emp_marienburg_rebels	dlc05_emp_jade_wizard
wizard	wh_main_emp_marienburg_rebels	emp_bright_wizard
wizard	wh_main_emp_marienburg_rebels	emp_celestial_wizard
wizard	wh_main_emp_marienburg_rebels	emp_light_wizard
wizard	wh_main_emp_marienburg_rebels	wh2_pro07_emp_amethyst_wizard
champion	wh_main_emp_marienburg	emp_captain
colonel	wh_main_emp_marienburg	emp_lord
dignitary	wh_main_emp_marienburg	emp_warrior_priest
engineer	wh_main_emp_marienburg	default
general	wh_main_emp_marienburg	dlc04_emp_arch_lector
general	wh_main_emp_marienburg	emp_lord
general	wh_main_emp_marienburg	wh2_dlc13_emp_cha_huntsmarshal_0
minister	wh_main_emp_marienburg	default
runesmith	wh_main_emp_marienburg	default
spy	wh_main_emp_marienburg	emp_witch_hunter
wizard	wh_main_emp_marienburg	dlc03_emp_amber_wizard
wizard	wh_main_emp_marienburg	dlc05_emp_grey_wizard
wizard	wh_main_emp_marienburg	dlc05_emp_jade_wizard
wizard	wh_main_emp_marienburg	emp_bright_wizard
wizard	wh_main_emp_marienburg	emp_celestial_wizard
wizard	wh_main_emp_marienburg	emp_light_wizard
wizard	wh_main_emp_marienburg	wh2_pro07_emp_amethyst_wizard
