battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/obo_grudgebringers_data	
dr1_dragon	wh_main_emp_empire
hu10b_harpy	wh_main_emp_empire
wm_blood_cauldron01	wh_main_emp_empire
bi3_terradon	wh_main_emp_empire
bo1_razorgor	wh_main_emp_empire
bi2_wyvern	wh_main_emp_empire
bi2_terrorgheist	wh_main_emp_empire
wm_corpsecart01	wh_main_emp_empire
wm_corpsecart01_balefire	wh_main_emp_empire
wm_corpsecart01_helman	wh_main_emp_empire
wm_corpsecart01_lodestone	wh_main_emp_empire
hu1_paladin_hr1_warhorse_lance_sword_shield	wh_main_emp_empire
wm_cannon01	wh_main_emp_empire
hr1_vmp_skeletal_steed_mortisengine	wh_main_emp_empire
hu1_sk_mortisengine_left_00	wh_main_emp_empire
hu1_sk_mortisengine_left_01	wh_main_emp_empire
hu1_sk_mortisengine_left_02	wh_main_emp_empire
hu1_sk_mortisengine_right_00	wh_main_emp_empire
hu1_sk_mortisengine_right_01	wh_main_emp_empire
hu1_sk_mortisengine_right_02	wh_main_emp_empire
wm_carriage01	wh_main_emp_empire
wm_mortisengine01	wh_main_emp_empire
wm_mortisengine01_nagash	wh_main_emp_empire
bi1_hawk	wh_main_emp_empire
bi1_eagle	wh_main_emp_empire
bc2b_hippogryph	wh_main_emp_empire
hu1_paladin_hr1_pegasus_lancer	wh_main_emp_empire
hu1_paladin_sword_and_shield	wh_main_emp_empire
dr1b_chaos_dragon	wh_main_emp_empire
th1_dwarf_anvil_of_doom	wh_main_emp_empire
th1_dwarf_throneofpower	wh_main_emp_empire
