attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/newf_ovn_lost_factions	
non_vampire_territory	wh2_main_nor_harbingers_of_doom
chaos_wastes	wh2_main_nor_harbingers_of_doom
mountain	wh2_main_nor_harbingers_of_doom
snow	wh2_main_nor_harbingers_of_doom
chaos_territory	wh2_main_nor_harbingers_of_doom
swamp	wh2_main_nor_servants_of_fimulneid
wasteland	wh2_main_nor_servants_of_fimulneid
ovn_fimir_mist	wh2_main_nor_harbingers_of_doom
ovn_fimir_mist	wh2_main_nor_servants_of_fimulneid
blockaded	wh2_main_vmp_blood_dragons
chaos_territory	wh2_main_nor_servants_of_fimulneid
chaos_territory	wh2_main_nor_rotbloods
chaos_wastes	wh2_main_nor_servants_of_fimulneid
chaos_wastes	wh2_main_nor_rotbloods
desert	wh2_main_vmp_blood_dragons
disease	wh2_main_nor_servants_of_fimulneid
disease	wh2_main_nor_rotbloods
mountain	wh2_main_nor_servants_of_fimulneid
mountain	wh2_main_nor_rotbloods
mountain	wh2_main_vmp_blood_dragons
non_vampire_territory	wh2_main_nor_servants_of_fimulneid
non_vampire_territory	wh2_main_nor_rotbloods
nurgle_plague	wh2_main_nor_servants_of_fimulneid
nurgle_plague	wh2_main_nor_rotbloods
snow	wh2_main_nor_servants_of_fimulneid
snow	wh2_main_nor_rotbloods
snow	wh2_main_vmp_blood_dragons
swamp	wh2_main_vmp_blood_dragons
vampire_territory	wh2_main_vmp_blood_dragons
wasteland	wh2_main_vmp_blood_dragons
