bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/@cr_ovn	
aquatic	ovn_fim_cav_bog_beast_riders_0
armoured	ovn_fim_cav_bog_beast_riders_0
scaly_skin	ovn_fim_cav_bog_beast_riders_0
armour_piercing_ranged	ovn_trl_inf_stone_throw_troll
poor_morale	ovn_trl_inf_stone_throw_troll
poor_accuracy	ovn_trl_inf_stone_throw_troll
anti_infantry	ovn_trl_inf_stone_throw_troll
fire_whilst_moving	ovn_arb_cav_jezzail_camel
armour_piercing_ranged	ovn_arb_cav_jezzail_camel
vanguard_deployment	ovn_arb_cav_jezzail_camel
fire_whilst_moving	ovn_arb_cav_archer_camel
vanguard_deployment	ovn_arb_cav_archer_camel
vanguard_deployment	ovn_arb_cav_lancer_camel
anti_large	ovn_arb_cav_lancer_camel
shielded	ovn_arb_cav_lancer_camel
anti_infantry	ovn_arb_mon_war_elephant_ror
terror	ovn_arb_mon_war_elephant_ror
rampage	ovn_arb_mon_war_elephant_ror
armour_piercing_ranged	ovn_arb_mon_war_elephant_ror
anti_large	ovn_mtl_cav_poultry_riders_0
shielded	ovn_mtl_cav_poultry_riders_0
cant_fight	hlf_roast_pig
anti_infantry	half_pig
armour_piercing	halfling_milittia_great
armour_piercing	halfling_warden_great
armour_piercing	hlf_baby_dragon
support_unit	hlf_roast_pig
terror	hlf_baby_dragon
expendable	halfling_milittia_great
expendable	halfling_milittia_arch
bad_air_duelist	hlf_baby_dragon
baby_dragon_breath	hlf_baby_dragon
poor_morale	halfling_milittia_great
poor_morale	halfling_milittia_arch
spellcaster	ovn_com_cha_olorin_the_grey_wizard_0
armour_piercing_ranged	ovn_com_cha_olorin_the_grey_wizard_0
armour_piercing_melee	ovn_com_cha_aragand_the_layabout_0
transform	ovn_com_cha_aragand_the_layabout_0
stinking_drunk	ovn_com_cha_aragand_the_layabout_0
armour_piercing_melee	ovn_com_cha_aragand_the_layabout_1
transform	ovn_com_cha_aragand_the_layabout_1
melee_expert	ovn_com_cha_aragand_the_layabout_1
unbreakable	ovn_com_cha_aragand_the_layabout_1
nice_elf	ovn_com_cha_legles_the_elf_0
dodge	ovn_com_cha_legles_the_elf_0
forest_stalker	ovn_com_cha_legles_the_elf_0
wardance	ovn_com_cha_legles_the_elf_0
poor_morale	ovn_com_cha_giblit_the_dwarf_0
