land_units_additional_personalities_groups_junctions_tables	0
battle_personality	group
arb_golden_magus_skiff_gm	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider1	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider2	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider3	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider4	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider5	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_rider6	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn7	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn8	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn9	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn10	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn11	arb_golden_magus_skiff_officer
arb_golden_magus_skiff_djinn12	arb_golden_magus_skiff_officer
housie_nec_rider_0	housie_nec_riders
housie_nec_rider_1	housie_nec_riders
housie_nec_rider_2	housie_nec_riders
housie_nec_rider_3	housie_nec_riders
housie_nec_rider_4	housie_nec_riders
