campaign_map_attrition_unit_immunities_tables	0
attrition	unit
chaos_territory	ovn_nurgle_chs_cav_chaos_knights_0
chaos_territory	ovn_nurgle_chs_cav_chaos_knights_1
disease	ovn_nurgle_chs_cav_chaos_knights_0
disease	ovn_nurgle_chs_cav_chaos_knights_1
horde_infighting	ovn_nurgle_chs_cav_chaos_knights_0
horde_infighting	ovn_nurgle_chs_cav_chaos_knights_1
mountain	ovn_nurgle_chs_cav_chaos_knights_0
mountain	ovn_nurgle_chs_cav_chaos_knights_1
non_vampire_territory	ovn_nurgle_chs_cav_chaos_knights_0
non_vampire_territory	ovn_nurgle_chs_cav_chaos_knights_1
nurgle_plague	ovn_nurgle_chs_cav_chaos_knights_0
nurgle_plague	ovn_nurgle_chs_cav_chaos_knights_1
snow	ovn_nurgle_chs_cav_chaos_knights_0
snow	ovn_nurgle_chs_cav_chaos_knights_1
