mortuary_cult_categories_to_rituals_tables	0
mortuary_category	ritual
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_01
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_02
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_03
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_04
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_05
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_06
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_07
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_08
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_09
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_10
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_11
ovn_arb_crafting_weapons	ovn_arb_crafting_weapons_12
ovn_arb_crafting_armor	ovn_arb_crafting_armor_01
ovn_arb_crafting_armor	ovn_arb_crafting_armor_02
ovn_arb_crafting_armor	ovn_arb_crafting_armor_03
ovn_arb_crafting_armor	ovn_arb_crafting_armor_04
ovn_arb_crafting_armor	ovn_arb_crafting_armor_05
ovn_arb_crafting_armor	ovn_arb_crafting_armor_06
ovn_arb_crafting_armor	ovn_arb_crafting_armor_07
ovn_arb_crafting_armor	ovn_arb_crafting_armor_08
ovn_arb_crafting_armor	ovn_arb_crafting_armor_09
ovn_arb_crafting_armor	ovn_arb_crafting_armor_10
ovn_arb_crafting_armor	ovn_arb_crafting_armor_11
ovn_arb_crafting_armor	ovn_arb_crafting_armor_12
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_01
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_02
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_03
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_04
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_05
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_06
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_07
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_08
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_09
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_10
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_11
ovn_arb_crafting_enchanted_items	ovn_arb_crafting_enchanted_items_12
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_01
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_02
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_03
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_04
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_05
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_06
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_07
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_08
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_09
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_10
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_11
ovn_arb_crafting_talismans	ovn_arb_crafting_talismans_12
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_01
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_02
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_03
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_04
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_05
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_06
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_07
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_08
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_09
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_10
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_11
ovn_arb_crafting_arcane_items	ovn_arb_crafting_arcane_items_12
