unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_added_armour
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_shield_of_cold_upgraded	wh_main_spell_upgraded_duration
spell_ice_frost_blade_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_frost_blade_upgraded	wh_main_spell_upgraded_duration
spell_ice_crisping_cold_upgraded	wh_main_spell_upgraded_added_effect_range
spell_ice_crisping_cold_upgraded	wh_main_spell_upgraded_duration
spell_ice_shattering_frost_upgraded	wh_main_spell_upgraded_duration
spell_ice_chill_upgraded	wh_main_spell_upgraded_duration
spell_ice_blinding_blizzard_upgraded	wh_main_spell_upgraded_duration
spell_ice_ice_shards_upgraded	wh2_main_all_magical_damage_moderate
spell_ice_ice_shards_upgraded	wh_main_all_direct_damage
spell_ice_ice_shards_upgraded	wh_main_all_strong_against_multiple
spell_ice_ice_shards_upgraded	wh_main_projectile_effective_long_range
spell_ice_ice_shards_upgraded	wh_main_projectile_powerful_explosion
spell_ice_ice_shards_upgraded	wh_main_spell_upgraded_damage
spell_ice_ice_shards	wh2_main_all_magical_damage_moderate
spell_ice_ice_shards	wh_main_all_direct_damage
spell_ice_ice_shards	wh_main_all_strong_against_multiple
spell_ice_ice_shards	wh_main_projectile_effective_long_range
spell_ice_ice_shards	wh_main_projectile_powerful_explosion
spell_ice_storm_strike_upgraded	wh2_main_all_magical_damage_moderate
spell_ice_storm_strike_upgraded	wh_main_all_can_disrupt_formation
spell_ice_storm_strike_upgraded	wh_main_all_strong_against_units
spell_ice_storm_strike_upgraded	wh_main_all_weak_against_single
spell_ice_storm_strike_upgraded	wh_main_spell_upgraded_ap_damage_ranged
spell_ice_storm_strike_upgraded	wh_main_vortex_large_breath
spell_ice_storm_strike	wh2_main_all_magical_damage_moderate
spell_ice_storm_strike	wh2_main_all_weak_against_armour
spell_ice_storm_strike	wh_main_all_can_disrupt_formation
spell_ice_storm_strike	wh_main_all_strong_against_units
spell_ice_storm_strike	wh_main_vortex_large_breath
spell_ice_chill_blast_upgraded	wh2_main_all_good_against_armour
spell_ice_chill_blast_upgraded	wh2_main_all_magical_damage_minor
spell_ice_chill_blast_upgraded	wh2_main_spell_small_wind
spell_ice_chill_blast_upgraded	wh2_main_spell_upgraded_frostbite
spell_ice_chill_blast_upgraded	wh_main_all_strong_against_units
spell_ice_chill_blast	wh2_main_all_good_against_armour
spell_ice_chill_blast	wh2_main_all_magical_damage_minor
spell_ice_chill_blast	wh2_main_spell_small_wind
spell_ice_chill_blast	wh_main_all_strong_against_units
spell_ice_ice_blizzard_upgraded	wh2_main_spell_upgraded_cooldown
spell_ice_ice_blizzard_upgraded	wh_main_all_direct_damage_resist
spell_ice_ice_blizzard_upgraded	wh_main_all_strong_against_multiple
spell_ice_ice_blizzard_upgraded	wh_main_all_weak_against_single
spell_ice_ice_blizzard	wh_main_all_direct_damage_resist
