ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
anti_infantry	elo_tomb_guardian
armoured	elo_tomb_guardian
armour_piercing	elo_tomb_guardian_2h_waepons
armoured	elo_tomb_guardian_2h_waepons
armoured_and_shielded	elo_tomb_guardian_spears
anti_large	elo_tomb_guardian_spears
charge_reflector	elo_tomb_guardian_spears
anti_infantry	black_grail_knights_tmb
armoured_and_shielded	black_grail_knights_tmb
spellcaster	elo_dread_larenscheld
anti_large	elo_dread_inf_grave_guard_0
armoured_and_shielded	elo_dread_inf_grave_guard_0
armour_piercing	elo_dread_mummy
embalmed_bodies	elo_dread_mummy
curse_of_the_mummy	elo_dread_mummy
anti_large	elo_dread_mummy
