culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
hu1b_elf_bi1_eagle_wb_sword_and_bow	wh_main_emp_empire
hu1b_hr1_fatandira_dualswords_bow	wh_main_emp_empire
hu1b_hef_hr1_warhorse_sword_bow	wh_main_emp_empire
hu1b_fatandira_dualswords_bow	wh_main_emp_empire
hu1b_fatandira_bi1_eagle_wb_sword_and_bow	wh_main_emp_empire
hc2_cst_hulks	wh_main_emp_empire
hu13_cst_bloated_corpse	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_1	wh_main_emp_empire
gi2_cst_colossus	wh_main_emp_empire
