key	sort_order
#unit_abilities_additional_ui_effects_tables;2;db/unit_abilities_additional_ui_effects_tables/ovn	
ovn_all_summon_genie	103
ovn_all_summon_sea_nymph	103
ovn_all_summon_desert_spirit	103
ovn_all_summon_fire_efreet	103
ovn_all_summon_tempest_djinn	103
ovn_all_summon_arb_spearmen	103
ovn_spell_upgraded_added_resistance_magic	1
ovn_all_summon_arb_nomad_assassin_mirror	106
elo_summon_fenbeasts	1
elo_amulet_old_ones	1
elo_hengus_blessing	1
larenscheld_ghost_on_death	1
larenscheld_bombardment	1
larenscheld_ghost_on_death_upgraded	1
larenscheld_change_at_will	1
dead_rise_liche	1
raise_legion	1
raise_legion_greatswords	1
troll_fodder_ui	200
ovn_arb_baz_heal	109
abilities_rage_of_khorne	1
blooth_thirsters_breath	1
fim_skattach_summon_bloodletters	1
ribspreader_summon_allies_ui_effect	103
ovn_character_abilities_the_recovery_of_the_king_transform	103
ovn_character_abilities_the_recovery_of_the_king_damage	104
ovn_heal_passive_24	109
deals_damage_to_friendly	105
unit_kills_itself	103
ovn_spawn_fanatics	105
