land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
elo_special_treat	elo_carrion_boss
elo_special_treat	elo_carrion_boss_squig
elo_those_are_tasty	elo_carrion_boss
elo_those_are_tasty	elo_carrion_boss_squig
wh_main_hero_abilities_slippery	elo_carrion_boss
wh_main_hero_abilities_slippery	elo_carrion_boss_squig
wh_main_hero_abilities_mad_cap_mushrooms	elo_boglar_shaman
wh_main_hero_abilities_mad_cap_mushrooms	elo_boglar_shaman_hound
ovn_thief	ovn_mtl_veh_reaper
wh_main_unit_passive_frenzy	halfling_housewives
ovn_thief	halfling_housewives
wh2_dlc09_faction_passive_realm_of_souls_tier_1	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc09_faction_passive_realm_of_souls_tier_2	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc09_faction_passive_realm_of_souls_tier_3	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc09_unit_passive_unstable_sand	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc09_faction_passive_realm_of_souls_tier_1	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_faction_passive_realm_of_souls_tier_2	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_faction_passive_realm_of_souls_tier_3	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_unit_passive_unstable_sand	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	dread_wh2_dlc09_tmb_mon_khemrian_warsphinx_0
wh2_dlc09_unit_passive_unstable_sand	dread_wh2_dlc09_tmb_mon_khemrian_warsphinx_0
wh_dlc08_unit_passive_from_the_mist	ovn_finmor
wh_dlc08_unit_passive_from_the_mist	ovn_finmor_belakor
wh_main_unit_passive_frenzy	ovn_finmor_belakor
reckless_taste	wh_main_mtl_veh_soupcart
cr_unit_formation_shieldwall	albion_hearthguard
wh_main_character_abilities_arcane_conduit	ovn_com_cha_olorin_the_grey_wizard_0
wh_main_lord_passive_hold_the_line	ovn_com_cha_aragand_the_layabout_0
wh_main_character_abilities_foe_seeker	ovn_com_cha_aragand_the_layabout_0
wh_main_hero_abilities_slippery	ovn_com_cha_aragand_the_layabout_0
ovn_character_abilities_the_recovery_of_the_king	ovn_com_cha_aragand_the_layabout_0
wh_main_lord_passive_hold_the_line	ovn_com_cha_aragand_the_layabout_1
wh_main_character_abilities_foe_seeker	ovn_com_cha_aragand_the_layabout_1
ovn_character_abilities_hair_of_the_dog	ovn_com_cha_aragand_the_layabout_1
ovn_character_passive_sobriety	ovn_com_cha_aragand_the_layabout_1
ovn_character_abilities_whirling_death	ovn_com_cha_legles_the_elf_0
ovn_character_abilities_storm_of_blades	ovn_com_cha_legles_the_elf_0
ovn_character_abilities_the_shadows_coil	ovn_com_cha_legles_the_elf_0
ovn_character_abilities_woven_mist	ovn_com_cha_legles_the_elf_0
ovn_character_passive_unlikely_friendship	ovn_com_cha_legles_the_elf_0
ovn_character_passive_self_preservation	ovn_com_cha_giblit_the_dwarf_0
wh_main_character_abilities_deadly_onslaught	ovn_com_cha_giblit_the_dwarf_0
wh_main_character_abilities_foe_seeker	ovn_com_cha_giblit_the_dwarf_0
wh_main_lord_passive_deathblow	ovn_com_cha_giblit_the_dwarf_0
ovn_unit_abilities_pot_of_naphtha	ovn_arb_cav_flying_carpet_ror
ovn_hero_abilities_summon_sea_nymph	ovn_arb_cha_magician_life_1
ovn_hero_abilities_summon_desert_spirit	ovn_arb_cha_magician_desert_1
ovn_hero_abilities_summon_fire_efreet	ovn_arb_cha_magician_fire_1
ovn_hero_abilities_summon_tempest_djinn	ovn_arb_cha_magician_heavens_1
ovn_unit_passive_genie_deco	ovn_arb_mon_genie
ovn_unit_passive_sea_nymph_deco	ovn_arb_mon_sea_nymph
ovn_unit_passive_desert_spirit_deco	ovn_arb_mon_desert_spirit
ovn_unit_passive_sea_nymph_deco	ovn_arb_mon_fire_efreet
ovn_unit_passive_tempest_djinn_deco	ovn_arb_mon_tempest_djinn
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_sea_nymph
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_desert_spirit
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_fire_efreet
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_tempest_djinn
wh_main_spell_bound_chain_lightning_ror	ovn_arb_mon_genie
wh_main_spell_bound_chain_lightning_ror	ovn_arb_mon_tempest_djinn
wh2_dlc11_lord_abilities_wraith_storm	ovn_arb_mon_sea_nymph
wh2_dlc09_lord_abilities_sand_storm	ovn_arb_mon_genie
wh2_dlc09_lord_abilities_sand_storm	ovn_arb_mon_desert_spirit
wh_main_spell_bound_fireball	ovn_arb_mon_genie
wh_main_spell_bound_fireball	ovn_arb_mon_fire_efreet
wh_dlc08_unit_passive_from_the_mist	ovn_fim_mon_javelin_0
ovn_unit_passive_unbinding_arb_spearmen_mirage	ovn_khemri_spearmen_summoned_0
ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	ovn_khemri_spearmen_summoned_1
wh2_dlc09_unit_passive_unstable_sand	ovn_dkl_mon_skeleton_giant
wh2_dlc09_unit_passive_unstable_mark_ii_sand	ovn_dkl_mon_skeleton_giant
wh_main_unit_passive_unstable	ovn_vmp_mon_skeleton_giant
wh_main_unit_passive_unstable_mark_ii	ovn_vmp_mon_skeleton_giant
elo_necromantic_anchor	ovn_dkl_mon_skeleton_giant
elo_necromantic_anchor	ovn_vmp_mon_skeleton_giant
woad_paint	ovn_alb_inf_stone_throw_giant
wh_main_character_abilities_deadly_onslaught	ovn_araby_ll
wh_main_character_abilities_foe_seeker	ovn_araby_ll
wh_main_character_abilities_stand_your_ground	ovn_araby_ll
wh_main_character_abilities_deadly_onslaught	ovn_araby_ll_mount
wh_main_character_abilities_foe_seeker	ovn_araby_ll_mount
wh_main_character_abilities_stand_your_ground	ovn_araby_ll_mount
wh_main_unit_passive_deathblow	ovn_glad
wh_main_unit_passive_deathblow	ovn_jag_ror
blood_howl	ovn_jag_ror
blood_howl	ovn_jag
blood_howl	ovn_jez_ror
blood_howl	ovn_knights_ror
blood_howl	ovn_yeoman
blood_howl	ovn_yeomanarchers
wh_main_unit_passive_deathblow	sr_ogre_arb
blood_howl	wh_main_arb_cav_magic_carpet_0
wh_main_unit_passive_frenzy	ovn_bom_ror
blood_howl	ovn_arb_cav_jezzail_camel
blood_howl	ovn_arb_cav_archer_camel
blood_howl	ovn_arb_cav_lancer_camel
wh_main_character_abilities_deadly_onslaught	wh_main_arb_cha_sheikh_2
wh_main_character_abilities_foe_seeker	wh_main_arb_cha_sheikh_2
wh_main_character_abilities_stand_your_ground	wh_main_arb_cha_sheikh_2
wh_main_spell_bound_fireball	ovn_ifreet
wh_main_character_abilities_arcane_conduit	roy_arb_cha_lord_horse
wh_main_character_abilities_stand_your_ground	roy_arb_cha_lord_horse
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_lord_horse_2
wh_main_character_abilities_foe_seeker	roy_arb_cha_lord_horse_2
wh_main_character_abilities_stand_your_ground	roy_arb_cha_lord_horse_2
wh2_dlc11_unit_passive_abandon_ship	hous_nec
wh2_dlc11_unit_passive_extra_powder	hous_nec
wh_main_unit_passive_unstable	hous_nec
