land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_passive_master_of_the_dead	elo_dread_larenscheld
wh_main_unit_passive_unstable	elo_dread_larenscheld
wh_main_unit_passive_unstable_mark_ii	elo_dread_larenscheld
wh_main_character_abilities_magical_animus	elo_dread_larenscheld
wh_main_unit_passive_unstable	elo_dread_larenscheld_wright
wh_main_unit_passive_unstable_mark_ii	elo_dread_larenscheld_wright
larenscheld_bombardment	elo_dread_larenscheld
wh_main_unit_passive_unstable	elo_dread_larenscheld_wright_perfect
wh_main_unit_passive_unstable_mark_ii	elo_dread_larenscheld_wright_perfect
larenscheld_ghost_on_death_upgraded	elo_dread_larenscheld
wh_main_character_abilities_arcane_conduit	elo_dread_larenscheld
wh_dlc04_unit_passive_balefire	elo_dread_larenscheld_wright_perfect
wh_dlc04_unit_passive_vigour_mortis	elo_dread_larenscheld_wright_perfect
wh_main_unit_passive_regeneration	elo_dread_larenscheld_wright_perfect
