projectiles_tables	46
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	scaling_damage	vegetation_ignore_time
ovn_arb_flying_carpet_naphtha	misc	explosives	wh_main_dwf_cinderblast_explosion	grenade_spin	1	dual_low_fixed	55	7	88	28.0	10.0	0.0	1	0	true	false	0.2	9.0	50.0	2.0	0	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade	-1.0	false		false	-1.0	1	0.0	3.0			10.0	false	false	55	very_low	-1	false	false	true	false	1	false	false	false	false		0.0
ovn_arb_flying_carpet_arrow	arrow	small_arm_default		none	1	dual_low_fixed	175	5	88	45.0	10.0	0.0	28	8	false	false	0.1	7.0	90.0	4.0	0	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0	false		false	-1.0	1	0.0	3.0			0.0	true	true	45	medium_magic	250	false	false	false	false	1	false	false	false	false		0.933
ovn_arb_flying_carpet_arrow_ror	arrow	small_arm_default		none	1	dual_low_fixed	175	5	88	45.0	10.0	0.0	28	8	false	false	0.1	7.0	90.0	4.0	0	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0	false		false	-1.0	1	0.0	3.0			1.0	true	true	45	medium_magic	250	false	false	false	false	1	false	false	false	false		0.933
wh_gru_crossbow_bolt	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	48.0	10.0	0.0	6	15	false	false	0.05	13.0	10.0	1.5	0	0	0	wh_emp_crossbow_bolt		wh_crossbow_bolt_normal	-1.0	false		false	-1.0	1	0.0	5.0			0.0	false	true	45	very_low	300	false	false	false	false	1	false	false	true	false		0.875
grudge_cannon_ball	artillery	artillery_default		none	1	low	460	8	40	100.0	40.0	0.0	200	700	true	false	0.2	18.0	275.0	8.5	0	0	0	wh_emp_cannon_ball		wh_cannon_cannonball_normal	0.4	true	wh_main_unit_contact_morale	false	-1.0	1	0.0	400.0			0.0	false	true	45	very_high	700	false	false	true	false	1	false	false	true	true		0.0
reckless_taste	artillery	artillery_explosive	wh_main_mtl_soup_projectile	none	1	fixed	230	7	35	5.0	20.0	0.0	120	40	false	false	1.0	1.0	120.0	9.9	0	0	0	boiling_oil		none	12.0	false	wh_main_unit_contact_souped	false	10.0	1	0.0	0.0			1.0	false	true	23	very_low	-1	false	false	false	true	1	true	false	true	true		0.0
ovn_trl_throwing_bone	axe	small_arm_default	bone_explosion	axe_spin	1	dual_low_fixed	130	0	40	40.0	0.0	5.0	20	44	false	false	0.12	8.0	95.0	2.0	10	0	0	ovn_trl_throwing_bone	wh_dlc06_unit_contact_discouraged	wh_throwing_axe	-1.0	false	wh_dlc06_unit_contact_discouraged	false	-1.0	1	0.0	60.0			0.0	false	true	50	low	180	false	false	false	false	1	false	false	true	false		1.05
ovn_arb_elephant_cannon_ball	artillery	artillery_default		none	1	low	300	10	40	100.0	25.0	0.0	88	352	true	false	0.1	22.0	275.0	8.5	0	0	0	wh_emp_volley_gun_shot		wh_cannon_cannonball_normal	0.3	true		false	-1.0	1	0.0	200.0			0.0	false	true	45	very_high_low_entity	700	false	false	true	false	1	false	false	true	true		0.0
ovn_com_firework_rocket	misc	artillery_default	ovn_com_firework_rocket	shell_spin	1	fixed	200	20	65	72.0	100.0	0.0	52	26	false	false	1.0	15.0	100.0	10.0	0	0	0	ovn_com_firework_rocket		wh2_main_ability_doomrocket	1.0	true		false	-1.0	1	0.0	350.0			1.0	true	true	30	medium_magic	-1	false	false	false	true	1	false	false	true	true		0.58
ovn_com_firework_rocket_shrapnel	misc	artillery_default	ovn_com_firework_rocket_shrapnel	shell_spin	1	fixed	200	20	88	20.0	100.0	3.0	0	264	false	false	0.5	23.0	100.0	30.0	0	0	0	ovn_com_firework_rocket_shrapnel			0.5	true		false	-1.0	1	0.0	20.0			1.0	true	true	30	medium_magic	-1	false	false	false	true	1	false	false	true	true		2.1
