member	culture
#campaign_group_member_criteria_cultures_tables;0;db/campaign_group_member_criteria_cultures_tables/pj_slaves_post_battle	
pj_captive_option_caliphate_enslave_bretonnia	wh_main_brt_bretonnia
pj_captive_option_caliphate_enslave_rogue	wh2_main_rogue
pj_captive_option_caliphate_enslave_dark_elves	wh2_main_def_dark_elves
pj_captive_option_caliphate_enslave_empire	wh_main_emp_empire
pj_captive_option_caliphate_enslave_high_elves	wh2_main_hef_high_elves
pj_captive_option_caliphate_enslave_wood_elves	wh_dlc05_wef_wood_elves
pj_captive_option_caliphate_enslave_chaos	wh_main_chs_chaos
pj_captive_option_scythans_enslave_bretonnia	wh_main_brt_bretonnia
pj_captive_option_scythans_enslave_rogue	wh2_main_rogue
pj_captive_option_scythans_enslave_dark_elves	wh2_main_def_dark_elves
pj_captive_option_scythans_enslave_empire	wh_main_emp_empire
pj_captive_option_scythans_enslave_high_elves	wh2_main_hef_high_elves
pj_captive_option_scythans_enslave_wood_elves	wh_dlc05_wef_wood_elves
pj_captive_option_scythans_enslave_chaos	wh_main_chs_chaos
pj_captive_option_flaming_scimitar_enslave_bretonnia	wh_main_brt_bretonnia
pj_captive_option_flaming_scimitar_enslave_rogue	wh2_main_rogue
pj_captive_option_flaming_scimitar_enslave_dark_elves	wh2_main_def_dark_elves
pj_captive_option_flaming_scimitar_enslave_empire	wh_main_emp_empire
pj_captive_option_flaming_scimitar_enslave_high_elves	wh2_main_hef_high_elves
pj_captive_option_flaming_scimitar_enslave_wood_elves	wh_dlc05_wef_wood_elves
pj_captive_option_flaming_scimitar_enslave_chaos	wh_main_chs_chaos
pj_captive_option_fimir_enslave_dwarfs	wh_main_dwf_dwarfs
pj_captive_option_fimir_enslave_greenskins	wh_main_grn_greenskins
pj_captive_option_fimir_enslave_dark_elves	wh2_main_def_dark_elves
pj_captive_option_fimir_enslave_skaven	wh2_main_skv_skaven
pj_captive_option_fimir_enslave_chaos	wh_main_chs_chaos
pj_captive_option_fimir_enslave_wood_elves	wh_dlc05_wef_wood_elves
pj_captive_option_fimir_enslave_empire	wh_main_emp_empire
pj_captive_option_fimir_enslave_high_elves	wh2_main_hef_high_elves
pj_captive_option_fimir_enslave_bretonnia	wh_main_brt_bretonnia
pj_captive_option_fimir_enslave_rogue	wh2_main_rogue
