culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
hu11_cygor	wh_main_chs_chaos
hu1b_elf_sword_and_shield	wh_main_chs_chaos
wm_rock_lobber01	wh_main_chs_chaos
hu1_empire_hammer	wh_main_chs_chaos
hu1_empire_dual_hammer	wh_main_chs_chaos
hu10b_harpy	wh_main_chs_chaos
hu1b_elf_sword_and_bow	wh_main_chs_chaos
wm_boar_chariot01	wh_main_chs_chaos
hu2_orc_wm_warboar_chariot01_spear	wh_main_chs_chaos
ce1_centigor_2handed_glaive	wh_main_chs_chaos
hu1b_def_lord_staff_and_sword	wh_main_chs_chaos
hu1b_elf_staff_and_sword	wh_main_chs_chaos
hu1b_elf_bi1_eagle_wb_sword	wh_main_chs_chaos
hu3_pr7_gotrex_axe	wh_main_chs_chaos
wm_tomb_chariot01	wh_main_chs_chaos
hc2_cst_hulks	wh_main_chs_chaos
bc2_griffon	wh_main_chs_chaos
hu1b_huntress_sword_and_bow	wh_main_chs_chaos
hu1_empire_2handed_sword	wh_main_chs_chaos
hu1_graveguard_sword_and_shield	wh_main_chs_chaos
ce2_dlc16_zoat_2handed_mace	wh_main_chs_chaos
