faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh_dlc08_nor_goromadny_tribe	default
colonel	wh_dlc08_nor_goromadny_tribe	aky_chief_fimir_great_weapons
dignitary	wh_dlc08_nor_goromadny_tribe	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh_dlc08_nor_goromadny_tribe	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh_dlc08_nor_goromadny_tribe	default
general	wh_dlc08_nor_goromadny_tribe	aky_chief_fimir_great_weapons
minister	wh_dlc08_nor_goromadny_tribe	default
spy	wh_dlc08_nor_goromadny_tribe	default
runesmith	wh_dlc08_nor_goromadny_tribe	wh2_dlc15_grn_river_troll_hag
wizard	wh_dlc08_nor_goromadny_tribe	grn_night_goblin_shaman
