campaign_map_attrition_faction_immunities_tables	0
attrition	faction
horde_infighting	wh2_main_emp_grudgebringers
desert	wh2_main_arb_aswad_scythans
desert	wh2_main_arb_caliphate_of_araby
regionless	wh2_main_nor_trollz
non_vampire_territory	wh2_main_nor_trollz
swamp	wh2_main_nor_trollz
chaos_territory	wh2_main_nor_trollz
wasteland	wh2_main_nor_trollz
chaos_wastes	wh2_main_nor_trollz
non_vampire_territory	wh2_main_arb_aswad_scythans
non_vampire_territory	wh2_main_arb_caliphate_of_araby
non_vampire_territory	wh2_main_arb_flaming_scimitar
non_vampire_territory	wh2_main_emp_grudgebringers
regionless	wh2_main_emp_grudgebringers
non_vampire_territory	wh2_main_emp_the_moot
chaos_territory	wh2_main_emp_the_moot
chaos_wastes	wh2_main_emp_the_moot
non_vampire_territory	wh2_main_amz_amazons
swamp	wh2_main_amz_amazons
non_vampire_territory	wh2_main_wef_treeblood
chaos_wastes	wh2_main_wef_treeblood
mountain	wh2_main_wef_treeblood
snow	wh2_main_wef_treeblood
regionless	wh2_main_lzd_lizardmen_qb1
chaos_territory	wh2_main_wef_treeblood
storm_level_1	wh2_main_arb_flaming_scimitar
storm_level_2	wh2_main_arb_flaming_scimitar
storm_level_3	wh2_main_arb_flaming_scimitar
storm_level_4	wh2_main_arb_flaming_scimitar
storm_level_5	wh2_main_arb_flaming_scimitar
sea_monster_storm	wh2_main_arb_flaming_scimitar
maelstrom	wh2_main_arb_flaming_scimitar
swamp	wh_dlc08_nor_goromadny_tribe
wasteland	wh_dlc08_nor_goromadny_tribe
regionless	wh2_dlc11_cst_vampire_coast_qb1
regionless	wh_main_nor_norsca_qb1
regionless	wh2_main_skv_skaven_qb1
regionless	wh_main_grn_greenskins_qb1
regionless	wh2_main_def_dark_elves_qb1
regionless	wh_main_chs_chaos_qb1
ovn_fimir_mist	wh2_main_wef_treeblood
ovn_fimir_mist	wh_dlc08_nor_goromadny_tribe
swamp	wh2_main_nor_albion
ovn_albion_mist	wh2_main_nor_albion
non_vampire_territory	wh2_main_nor_albion
chaos_territory	wh2_main_nor_albion
snow	wh2_main_nor_albion
non_vampire_territory	wh2_dlc11_cst_vampire_coast_qb1
non_vampire_territory	wh_main_nor_norsca_qb1
non_vampire_territory	wh2_main_skv_skaven_qb1
non_vampire_territory	wh_main_grn_greenskins_qb1
non_vampire_territory	wh2_main_def_dark_elves_qb1
non_vampire_territory	wh_main_chs_chaos_qb1
