unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
immune_to_psychology	immPsy_hide_chargereflect_ovn
charge_reflector	immPsy_hide_chargereflect_ovn
hide_forest	immPsy_hide_chargereflect_ovn
hide_forest	hide_chargevsL_stalk_guerilla
charge_reflector_vs_large	hide_chargevsL_stalk_guerilla
hide_forest	hide_chargevsL_stalk_guerilla
stalk	hide_chargevsL_stalk_guerilla
strider	hide_chargevsL_stalk_guerilla
causes_fear	fear_guerrilla_mountedFireMove_hideForest
guerrilla_deploy	fear_guerrilla_mountedFireMove_hideForest
mounted_fire_move	fear_guerrilla_mountedFireMove_hideForest
hide_forest	fear_guerrilla_mountedFireMove_hideForest
