campaign_group_member_criteria_diplomatic_attitudes_tables	0
attitude	member
hostile	diplomacy_Subcult_Troll_&_Negative
friendly	diplomacy_Subcult_Troll_&_Positive
hostile	diplomacy_Subcult_Fimir_&_Negative
friendly	diplomacy_Subcult_Fimir_&_Positive
hostile	diplomacy_Subcult_Warp_&_Negative
friendly	diplomacy_Subcult_Warp_&_Positive
hostile	diplomacy_Subcult_Albion_&_Negative
friendly	diplomacy_Subcult_Albion_&_Positive
hostile	diplomacy_Faction_Araby_&_Negative
friendly	diplomacy_Faction_Araby_&_Positive
hostile	diplomacy_Faction_Scythan_&_Negative
friendly	diplomacy_Faction_Scythan_&_Positive
hostile	diplomacy_Faction_Scimitar_&_Negative
friendly	diplomacy_Faction_Scimitar_&_Positive
hostile	diplomacy_Faction_Amazon_&_Negative
friendly	diplomacy_Faction_Amazon_&_Positive
hostile	diplomacy_Subcult_Treeblood_Fimir_&_Negative
friendly	diplomacy_Subcult_Treeblood_Fimir_&_Positive
