effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/@cr_halfling_cooking				
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_all_campaign_stance_ap_cost	army_to_army_own_unseen	25.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_all_campaign_stance_cannot_move_dummy	army_to_army_own_unseen	1.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_army_campaign_attrition_all_immunity	army_to_army_own_unseen	1.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_army_campaign_stance_fortification_recruitment_dummy	force_to_force_own	1.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_unit_stat_melee_defence	army_to_army_own_unseen	5.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_force_unit_stat_morale	army_to_army_own_unseen	5.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	wh_main_effect_horde_unit_replenishment_hidden	force_to_general_own	10.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	ovn_effect_foraging_find_ingredient_dummy	army_to_army_own_unseen	1.0	start_turn_completed
ovn_bundle_stance_army_fortification_mootland	ovn_pooled_resource_mtl_seasong_buildings	faction_to_faction_own_unseen	5.0	start_turn_completed
