land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_abilities_deadly_onslaught	ovn_araby_ll_2
wh_main_character_abilities_foe_seeker	ovn_araby_ll_2
wh_main_character_abilities_stand_your_ground	ovn_araby_ll_2
wh_main_character_abilities_arcane_conduit	ovn_araby_ll
wh_main_character_abilities_stand_your_ground	ovn_araby_ll
wh_main_character_abilities_deadly_onslaught	ovn_araby_ll_2_mount
wh_main_character_abilities_foe_seeker	ovn_araby_ll_2_mount
wh_main_character_abilities_stand_your_ground	ovn_araby_ll_2_mount
wh_main_character_abilities_arcane_conduit	ovn_araby_ll_mount
wh_main_character_abilities_stand_your_ground	ovn_araby_ll_mount
wh_main_mount_passive_bloodroar	ovn_araby_ll_mount
wh_main_unit_passive_deathblow	ovn_glad
wh_main_unit_passive_deathblow	ovn_jag_ror
blood_howl	ovn_jag_ror
blood_howl	ovn_jag
blood_howl	ovn_jez_ror
blood_howl	ovn_knights_ror
blood_howl	ovn_yeoman
blood_howl	ovn_yeomanarchers
wh_main_unit_passive_deathblow	sr_ogre_arb
blood_howl	wh_main_arb_cav_magic_carpet_0
wh_main_unit_passive_frenzy	ovn_bom_ror
blood_howl	ovn_arb_cav_jezzail_camel
blood_howl	ovn_arb_cav_archer_camel
blood_howl	ovn_arb_cav_lancer_camel
wh_main_character_abilities_deadly_onslaught	wh_main_arb_cha_sheikh_2_02
wh_main_character_abilities_foe_seeker	wh_main_arb_cha_sheikh_2_02
wh_main_character_abilities_stand_your_ground	wh_main_arb_cha_sheikh_2_02
wh_main_character_abilities_arcane_conduit	wh_main_arb_cha_sheikh_2
wh_main_character_abilities_stand_your_ground	wh_main_arb_cha_sheikh_2
wh_main_spell_bound_fireball	ovn_ifreet
wh_main_character_abilities_arcane_conduit	roy_arb_cha_lord_horse
wh_main_character_abilities_stand_your_ground	roy_arb_cha_lord_horse
wh_main_character_abilities_deadly_onslaught	roy_arb_cha_lord_horse_2
wh_main_character_abilities_foe_seeker	roy_arb_cha_lord_horse_2
wh_main_character_abilities_stand_your_ground	roy_arb_cha_lord_horse_2
