ancillaries_required_skills_tables	1
ancillary	required_skill	required_skill_level
ovn_anc_weapon_glammyding	ovn_skill_anc_weapon_glammyding	1
ovn_anc_talisman_bottomless_hat_of_rabbit	ovn_skill_anc_talisman_bottomless_hat_of_rabbit	1
ovn_anc_arcane_item_cathay_fireworks	ovn_skill_anc_arcane_item_cathay_fireworks	1
ovn_anc_weapon_aragands_sword	ovn_skill_anc_weapon_aragands_sword	1
ovn_anc_enchanted_item_pig_swill	ovn_skill_anc_enchanted_item_pig_swill	1
ovn_anc_talisman_friendship_bracelet_legles	ovn_skill_anc_weapon_friendship_bracelet_legles	1
ovn_anc_enchanted_item_ring_of_concealment	ovn_skill_anc_enchanted_item_ring_of_concealment	1
ovn_anc_talisman_friendship_bracelet_giblit	ovn_skill_anc_weapon_friendship_bracelet_giblit	1
ovn_anc_enchanted_item_bimbos_book	ovn_skill_anc_enchanted_item_bimbos_book	1
