land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_unit_passive_unstable	elo_tomb_guardian
wh_main_unit_passive_unstable_mark_ii	elo_tomb_guardian
wh_main_unit_passive_unstable	elo_tomb_guardian_2h_waepons
wh_main_unit_passive_unstable_mark_ii	elo_tomb_guardian_2h_waepons
wh_main_unit_passive_unstable	elo_tomb_guardian_spears
wh_main_unit_passive_unstable_mark_ii	elo_tomb_guardian_spears
wh2_dlc09_faction_passive_realm_of_souls_tier_1	elo_tomb_guardian
wh2_dlc09_faction_passive_realm_of_souls_tier_2	elo_tomb_guardian
wh2_dlc09_faction_passive_realm_of_souls_tier_3	elo_tomb_guardian
wh2_dlc09_faction_passive_realm_of_souls_tier_1	elo_tomb_guardian_2h_waepons
wh2_dlc09_faction_passive_realm_of_souls_tier_2	elo_tomb_guardian_2h_waepons
wh2_dlc09_faction_passive_realm_of_souls_tier_3	elo_tomb_guardian_2h_waepons
wh2_dlc09_faction_passive_realm_of_souls_tier_1	elo_tomb_guardian_spears
wh2_dlc09_faction_passive_realm_of_souls_tier_2	elo_tomb_guardian_spears
wh2_dlc09_faction_passive_realm_of_souls_tier_3	elo_tomb_guardian_spears
