id	set_id	culture	faction	sub_culture	campaign
#building_chain_availabilities_tables;1;db/building_chain_availabilities_tables/ovn_new_sc_shared					
250519880	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_warp	main_warhammer
250519881	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_warp	wh2_main_great_vortex
250519882	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_fimir	main_warhammer
250519883	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_fimir	wh2_main_great_vortex
250519884	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_troll	main_warhammer
250519885	wh_main_bas_nor	wh_main_chs_chaos		wh_main_sc_nor_troll	wh2_main_great_vortex
250519886	ovn_bas_araby			wh_main_sc_emp_araby	main_warhammer
250519887	ovn_bas_araby			wh_main_sc_emp_araby	wh2_main_great_vortex
250519888	wh2_main_bas_lzd			wh_main_sc_lzd_amazon	main_warhammer
250519889	wh2_main_bas_lzd			wh_main_sc_lzd_amazon	wh2_main_great_vortex
250519890	ovn_bas_halflings		wh2_main_emp_the_moot		main_warhammer
250519891	ovn_bas_halflings		wh2_main_emp_the_moot		wh2_main_great_vortex
250519892	ovn_bas_rotbloods		wh2_main_nor_rotbloods		main_warhammer
250519893	ovn_bas_rotbloods		wh2_main_nor_rotbloods		wh2_main_great_vortex
