campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_nor_trollz	diplomacy_Subcult_Troll_&_Negative
wh2_main_nor_trollz	diplomacy_Subcult_Troll_&_Positive
wh2_main_nor_trollz	diplomacy_Subcult_Troll
wh2_main_nor_albion	diplomacy_Subcult_Albion_&_Negative
wh2_main_nor_albion	diplomacy_Subcult_Albion_&_Positive
wh2_main_nor_albion	diplomacy_Subcult_Albion
wh2_main_arb_caliphate_of_araby	diplomacy_Faction_Araby_&_Negative
wh2_main_arb_caliphate_of_araby	diplomacy_Faction_Araby_&_Positive
wh2_main_arb_caliphate_of_araby	diplomacy_Faction_Araby
wh2_main_arb_aswad_scythans	diplomacy_Faction_Scythan_&_Negative
wh2_main_arb_aswad_scythans	diplomacy_Faction_Scythan_&_Positive
wh2_main_arb_aswad_scythans	diplomacy_Faction_Scythan
wh2_main_arb_flaming_scimitar	diplomacy_Faction_Scimitar_&_Negative
wh2_main_arb_flaming_scimitar	diplomacy_Faction_Scimitar_&_Positive
wh2_main_arb_flaming_scimitar	diplomacy_Faction_Scimitar
wh2_main_amz_amazons	diplomacy_Faction_Amazon_&_Negative
wh2_main_amz_amazons	diplomacy_Faction_Amazon_&_Positive
wh2_main_amz_amazons	diplomacy_Faction_Amazon
