group_key	campaign	faction_leader	ui_section
#frontend_faction_effect_groups_tables;0;db/frontend_faction_effect_groups_tables/ovn_lost_factions			
ovn_caliphate_of_araby		wh2_main_political_party_arb_caliphate_of_araby	faction_traits
ovn_caliphate_of_araby_lord		wh2_main_political_party_arb_caliphate_of_araby	lord_traits
ovn_flaming_scimitar		wh2_main_political_party_arb_flaming_scimitar	faction_traits
ovn_flaming_scimitar_lord		wh2_main_political_party_arb_flaming_scimitar	lord_traits
ovn_aswad_scythans		wh2_main_political_party_arb_aswad_scythans	faction_traits
ovn_aswad_scythans_lord		wh2_main_political_party_arb_aswad_scythans	lord_traits
ovn_emp_grudgebringers		wh2_main_political_party_emp_grudgebringers	faction_traits
ovn_emp_grudgebringers_vor		wh2_main_political_party_vor_emp_grudgebringers	faction_traits
ovn_emp_grudgebringers_lord		wh2_main_political_party_emp_grudgebringers	lord_traits
ovn_emp_grudgebringers_vor_lord		wh2_main_political_party_vor_emp_grudgebringers	lord_traits
ovn_nor_trollz		wh2_main_political_party_nor_trollz	faction_traits
ovn_nor_trollz_lord		wh2_main_political_party_nor_trollz	lord_traits
ovn_amz_amazons		wh2_main_political_party_amz_amazons	faction_traits
ovn_amz_amazons_lord		wh2_main_political_party_amz_amazons	lord_traits
ovn_emp_the_moot		wh2_main_political_party_emp_the_moot	faction_traits
ovn_emp_the_moot_lord		wh2_main_political_party_emp_the_moot	lord_traits
vor_tmb_the_sentinels		wh2_main_political_party_vor_tmb_the_sentinels	faction_traits
vor_tmb_the_sentinels_lord		wh2_main_political_party_vor_tmb_the_sentinels	lord_traits
tmb_the_sentinels		wh2_main_political_party_tmb_the_sentinels	faction_traits
tmb_the_sentinels_lord		wh2_main_political_party_tmb_the_sentinels	lord_traits
ovn_hef_citadel_of_dusk_leader		wh2_main_political_party_hef_citadel_of_dusk	lord_traits
ovn_hef_citadel_of_dusk_faction		wh2_main_political_party_hef_citadel_of_dusk	faction_traits
ovn_vor_hef_citadel_of_dusk_leader		wh2_main_political_party_vor_hef_citadel_of_dusk	lord_traits
ovn_vor_hef_citadel_of_dusk_faction		wh2_main_political_party_vor_hef_citadel_of_dusk	faction_traits
ovn_vor_caliphate_of_araby		wh2_main_political_party_vor_arb_caliphate_of_araby	faction_traits
ovn_vor_caliphate_of_araby_lord		wh2_main_political_party_vor_arb_caliphate_of_araby	lord_traits
ovn_vor_amz_amazons		wh2_main_political_party_vor_amz_amazons	faction_traits
ovn_vor_amz_amazons_lord		wh2_main_political_party_vor_amz_amazons	lord_traits
ovn_vor_aswad_scythans		wh2_main_political_party_vor_arb_aswad_scythans	faction_traits
ovn_vor_aswad_scythans_lord		wh2_main_political_party_vor_arb_aswad_scythans	lord_traits
