mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	0	250519890	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_inf_huntsmen_0_imperial_supply	0	250519891	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	0	250519892	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_art_great_cannon_imperial_supply	0	250519893	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_reiksguard_imperial_supply	0	250519894	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	0	250519895	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_outriders_1_imperial_supply	0	250519896	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	0	250519897	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	0	250519898	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	0	250519899	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	0	250519900	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	0	250519901	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_inf_halberdiers_imperial_supply	0	250519902	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_inf_handgunners_imperial_supply	0	250519903	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_inf_greatswords_imperial_supply	0	250519905	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_cav_empire_knights_imperial_supply	0	250519906	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_veh_steam_tank_imperial_supply	0	250519907	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_grudgebringers		
wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	0	250519908	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_inf_huntsmen_0_imperial_supply	0	250519909	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	0	250519910	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_art_great_cannon_imperial_supply	0	250519911	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_reiksguard_imperial_supply	0	250519912	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	0	250519913	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_outriders_1_imperial_supply	0	250519914	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	0	250519915	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	0	250519915	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	0	250519917	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	0	250519918	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	0	250519919	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_inf_halberdiers_imperial_supply	0	250519920	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_inf_handgunners_imperial_supply	0	250519921	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_inf_greatswords_imperial_supply	0	250519923	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_cav_empire_knights_imperial_supply	0	250519924	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
wh2_dlc13_emp_veh_steam_tank_imperial_supply	0	250519925	wh2_dlc13_emp_imperial_supply_pool	wh2_main_emp_the_moot		
