key	human_only
#ritual_payloads_tables;1;db/ritual_payloads_tables/ovn_crafting_araby_slaves	
ovn_arb_crafting_followers_1	true
ovn_arb_crafting_followers_2	true
ovn_arb_crafting_followers_3	true
ovn_arb_crafting_followers_4	true
ovn_arb_crafting_followers_5	true
ovn_arb_crafting_followers_6	true
ovn_arb_crafting_followers_7	true
ovn_arb_crafting_followers_8	true
ovn_arb_crafting_followers_9	true
ovn_arb_crafting_followers_10	true
ovn_arb_crafting_followers_11	true
ovn_arb_crafting_followers_12	true
ovn_arb_crafting_followers_13	true
ovn_arb_crafting_followers_14	true
ovn_arb_crafting_followers_15	true
ovn_arb_crafting_followers_16	true
ovn_arb_crafting_followers_17	true
ovn_arb_crafting_followers_18	true
ovn_arb_crafting_followers_19	true
ovn_arb_crafting_followers_20	true
ovn_arb_crafting_followers_21	true
ovn_arb_crafting_followers_22	true
ovn_arb_crafting_followers_23	true
ovn_arb_crafting_followers_24	true
ovn_arb_crafting_followers_25	true
ovn_arb_crafting_followers_26	true
ovn_arb_crafting_followers_27	true
ovn_arb_crafting_followers_28	true
ovn_arb_crafting_followers_29	true
ovn_arb_crafting_followers_30	true
ovn_arb_crafting_followers_31	true
ovn_arb_crafting_followers_32	true
ovn_arb_crafting_followers_33	true
ovn_arb_crafting_followers_34	true
ovn_arb_crafting_followers_35	true
ovn_arb_crafting_followers_36	true
ovn_arb_crafting_followers_37	true
ovn_arb_crafting_followers_38	true
ovn_arb_crafting_followers_39	true
ovn_arb_crafting_followers_40	true
ovn_arb_crafting_followers_41	true
ovn_arb_crafting_followers_42	true
ovn_arb_crafting_followers_43	true
ovn_arb_crafting_followers_44	true
ovn_arb_crafting_followers_45	true
ovn_arb_crafting_followers_46	true
ovn_arb_crafting_followers_47	true
ovn_arb_crafting_followers_48	true
ovn_arb_crafting_followers_49	true
ovn_arb_crafting_followers_50	true
ovn_arb_crafting_followers_51	true
ovn_arb_crafting_followers_52	true
ovn_arb_crafting_followers_53	true
ovn_arb_crafting_followers_54	true
ovn_arb_crafting_followers_55	true
ovn_arb_crafting_followers_56	true
ovn_arb_crafting_followers_57	true
ovn_arb_crafting_followers_58	true
ovn_arb_crafting_followers_59	true
ovn_arb_crafting_followers_60	true
ovn_arb_crafting_followers_61	true
ovn_arb_crafting_followers_62	true
ovn_arb_crafting_followers_63	true
ovn_arb_crafting_followers_64	true
ovn_arb_crafting_followers_65	true
ovn_arb_crafting_followers_66	true
ovn_arb_crafting_followers_67	true
ovn_arb_crafting_followers_68	true
ovn_arb_crafting_followers_69	true
ovn_arb_crafting_followers_70	true
ovn_arb_crafting_followers_71	true
ovn_arb_crafting_followers_72	true
ovn_arb_crafting_followers_73	true
ovn_arb_crafting_followers_74	true
ovn_arb_crafting_followers_75	true
ovn_arb_crafting_followers_76	true
ovn_arb_crafting_followers_77	true
ovn_arb_crafting_followers_78	true
ovn_arb_crafting_followers_79	true
ovn_arb_crafting_followers_80	true
ovn_arb_crafting_followers_81	true
ovn_arb_crafting_followers_82	true
ovn_arb_crafting_followers_83	true
ovn_arb_crafting_followers_84	true
ovn_arb_crafting_followers_85	true
ovn_arb_crafting_followers_86	true
ovn_arb_crafting_followers_87	true
ovn_arb_crafting_followers_88	true
ovn_arb_crafting_followers_89	true
ovn_arb_crafting_followers_90	true
ovn_arb_crafting_followers_91	true
ovn_arb_crafting_followers_92	true
ovn_arb_crafting_followers_93	true
ovn_arb_crafting_followers_94	true
ovn_arb_crafting_followers_95	true
ovn_arb_crafting_followers_96	true
ovn_arb_crafting_followers_97	true
ovn_arb_crafting_followers_98	true
ovn_arb_crafting_followers_99	true
ovn_arb_crafting_followers_100	true
ovn_arb_crafting_followers_101	true
ovn_arb_crafting_followers_102	true
ovn_arb_crafting_followers_103	true
ovn_arb_crafting_followers_104	true
ovn_arb_crafting_followers_106	true
ovn_arb_crafting_followers_107	true
ovn_arb_crafting_followers_108	true
ovn_arb_crafting_followers_109	true
ovn_arb_crafting_followers_110	true
ovn_arb_crafting_followers_111	true
ovn_arb_crafting_followers_112	true
ovn_arb_crafting_followers_113	true
ovn_arb_crafting_followers_114	true
ovn_arb_crafting_followers_115	true
ovn_arb_crafting_followers_116	true
ovn_arb_crafting_followers_117	true
ovn_arb_crafting_followers_118	true
ovn_arb_crafting_followers_119	true
ovn_arb_crafting_followers_120	true
ovn_arb_crafting_followers_121	true
ovn_arb_crafting_followers_122	true
ovn_arb_crafting_followers_123	true
ovn_arb_crafting_followers_124	true
ovn_arb_crafting_followers_125	true
