id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/ovn_grudge		
250519190	wh_main_emp_cha_grudge_main	horde_primary
250519191	wh_main_emp_cha_grudge_recruit	horde_secondary
250519192	wh_main_emp_cha_grudge_wizard	horde_secondary
250519193	wh_main_emp_cha_grudge_worship	horde_secondary
250519194	wh_main_emp_cha_grudge_growth	horde_secondary
250519195	wh_main_emp_cha_grudge_paymaster	horde_secondary
250519196	wh_main_emp_cha_grudge_bank	horde_secondary
250519197	wh_main_emp_cha_grudge_hero	horde_secondary
250519198	wh_main_emp_cha_grudge_main	grudge_horde_primary
250519199	wh_main_emp_cha_grudge_recruit	grudge_horde_secondary
250519200	wh_main_emp_cha_grudge_wizard	grudge_horde_secondary
250519201	wh_main_emp_cha_grudge_worship	grudge_horde_secondary
250519202	wh_main_emp_cha_grudge_growth	grudge_horde_secondary
250519203	wh_main_emp_cha_grudge_paymaster	grudge_horde_secondary
250519204	wh_main_emp_cha_grudge_bank	grudge_horde_secondary
250519205	wh_main_emp_cha_grudge_hero	grudge_horde_secondary
