resource_cost	trade_resource
#resource_cost_trade_resource_junctions_tables;0;db/resource_cost_trade_resource_junctions_tables/ovn_crafting	
ovn_arb_crafting_weapons_crafted	res_gems
ovn_arb_crafting_weapons_unique	res_gems
ovn_arb_crafting_weapons_unique	res_gold_idols
ovn_arb_crafting_armor_crafted	res_gems
ovn_arb_crafting_armor_unique	res_gems
ovn_arb_crafting_armor_unique	res_gold_idols
ovn_arb_crafting_enchanted_items_crafted	res_gold_idols
ovn_arb_crafting_enchanted_items_unique	res_gold_idols
ovn_arb_crafting_enchanted_items_unique	res_gems
ovn_arb_crafting_talismans_crafted	res_gold_idols
ovn_arb_crafting_talismans_unique	res_gold_idols
ovn_arb_crafting_talismans_unique	res_gems
ovn_arb_crafting_arcane_items_crafted	res_gold_idols
ovn_arb_crafting_arcane_items_unique	res_gold_idols
ovn_arb_crafting_arcane_items_unique	res_gems
ovn_arb_crafting_weapons_seeking_bow	res_trinkets
ovn_arb_crafting_arcane_items_monkey_king	res_spices
ovn_arb_crafting_nomad	res_ivory
ovn_arb_crafting_armor_scorpion	res_animals
