difficulty_handicap	faction_key	campaign_key	player_faction	player_subculture	player_culture	personality_group
#cai_personality_group_overrides_tables;2;db/cai_personality_group_overrides_tables/newf_@ovn_shared						
1	wh2_main_nor_rotbloods	main_warhammer				wh_group_norsca_start_aggressive_easy
1	wh2_main_nor_servants_of_fimulneid	main_warhammer				wh_group_norsca_start_aggressive_easy
0	wh2_main_nor_rotbloods	main_warhammer				wh_group_norsca_start_aggressive_easy
0	wh2_main_nor_servants_of_fimulneid	main_warhammer				wh_group_norsca_start_aggressive_easy
-1	wh2_main_nor_rotbloods	main_warhammer				wh_group_norsca_start_aggressive
-1	wh2_main_nor_servants_of_fimulneid	main_warhammer				wh_group_norsca_start_aggressive
-2	wh2_main_nor_rotbloods	main_warhammer				wh_group_norsca_start_aggressive_hard
-2	wh2_main_nor_servants_of_fimulneid	main_warhammer				wh_group_norsca_start_aggressive_hard
-3	wh2_main_nor_rotbloods	main_warhammer				wh_group_norsca_start_aggressive_hard
-3	wh2_main_nor_servants_of_fimulneid	main_warhammer				wh_group_norsca_start_aggressive_hard
-2	wh2_main_vmp_blood_dragons	main_warhammer				wh_group_vampires_default_hard
-2	wh2_main_vmp_blood_dragons	main_warhammer	wh_main_vmp_vampire_counts			wh_group_vampires_default_hard_against_vampire_factions
-3	wh2_main_vmp_blood_dragons	main_warhammer				wh_group_vampires_default_hard
-3	wh2_main_vmp_blood_dragons	main_warhammer	wh_main_vmp_vampire_counts			wh_group_vampires_default_hard_against_vampire_factions
1	wh2_main_vmp_blood_dragons	main_warhammer				wh_group_vampires_default_easy
