building_upgrades_junction_tables	0
from	to
arb_flaming_scimitar_main_1	arb_flaming_scimitar_main_2
arb_flaming_scimitar_main_2	arb_flaming_scimitar_main_3
arb_flaming_scimitar_main_3	arb_flaming_scimitar_main_4
arb_flaming_scimitar_main_4	arb_flaming_scimitar_main_5
arb_flaming_scimitar_barracks_1	arb_flaming_scimitar_barracks_2
arb_flaming_scimitar_barracks_2	arb_flaming_scimitar_barracks_3
arb_flaming_scimitar_support_monsters_1	arb_flaming_scimitar_support_monsters_2
arb_flaming_scimitar_support_monsters_2	arb_flaming_scimitar_support_monsters_3
arb_flaming_scimitar_support_mages_1	arb_flaming_scimitar_support_mages_2
arb_flaming_scimitar_structure_movement_1	arb_flaming_scimitar_structure_movement_2
arb_flaming_scimitar_structure_movement_2	arb_flaming_scimitar_structure_movement_3
arb_flaming_scimitar_structure_upkeep_1	arb_flaming_scimitar_structure_upkeep_2
arb_flaming_scimitar_structure_upkeep_2	arb_flaming_scimitar_structure_upkeep_3
arb_flaming_scimitar_structure_replenishment_1	arb_flaming_scimitar_structure_replenishment_2
arb_flaming_scimitar_structure_replenishment_2	arb_flaming_scimitar_structure_replenishment_3
arb_flaming_scimitar_structure_growth_1	arb_flaming_scimitar_structure_growth_2
arb_flaming_scimitar_structure_growth_2	arb_flaming_scimitar_structure_growth_3
arb_flaming_scimitar_defense_magical_bombardment_1	arb_flaming_scimitar_defense_magical_bombardment_2
arb_golden_magus_special_galleon_graveyard_ruin	arb_golden_magus_special_galleon_graveyard_1
