effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
upkeep_mod	elo_hlf_militia_up	elo_hlf_militia_melee
armour_mod	elo_hlf_militia_armour	elo_hlf_militia_melee
melee_damage_ap_mod_mult	elo_hlf_militia_dmg	elo_hlf_militia_melee
melee_damage_mod_mult	elo_hlf_militia_dmg	elo_hlf_militia_melee
unit_xp_mod	elo_hlf_militia_xp	elo_hlf_militia_melee
melee_damage_ap_mod_add	elo_hlf_militia_dmg_ap	elo_hlf_militia_melee
melee_attack_mod	elo_hlf_militia_mattk	elo_hlf_militia_melee
charge_bonus	elo_hlf_reaper_cb	elo_hlf_reaper
damage_vs_infantry	elo_hlf_reaper_ai	elo_hlf_reaper
mod_land_movement_battle	elo_hlf_doggo_speed	elo_hlf_doggos
melee_defence_mod	elo_hlf_piggies_mdef	elo_hlf_piggies
charge_add	elo_hlf_cocks_charge	elo_hlf_cocks
melee_attack_mod	elo_hlf_cocks_mattk	elo_hlf_cocks
melee_damage_ap_mod_mult	elo_hlf_cav_dmg	elo_hlf_cav
melee_damage_mod_mult	elo_hlf_cav_dmg	elo_hlf_cav
morale	elo_all_hlf_morale	hlf_all_units
melee_attack_mod	elo_hlf_thieves_mattk	elo_hlf_thieves
morale	elo_hlf_warden_morale	elo_hlf_wardens
armour_mod	elo_hlf_warden_armour	elo_hlf_wardens
unit_xp_mod	elo_hlf_warden_xp	elo_hlf_wardens
range_mod	elo_hlf_militia_archer_range	elo_hlf_militia_archer
missile_damage_ap_mod_mult	elo_hlf_rangers_dmg	elo_hlf_rangers
missile_damage_mod_mult	elo_hlf_rangers_dmg	elo_hlf_rangers
reload	elo_hlf_archers_all_reload	elo_hlf_archers_all
melee_defence_mod	elo_hlf_trees_mdef	elo_hlf_trees
melee_attack_mod	elo_hlf_trees_mattk	elo_hlf_trees
unit_damage_resistance_all_mod	elo_hlf_trees_resist	elo_hlf_trees
cost_mod	elo_hlf_monster_cost	elo_hlf_monster
morale	elo_hlf_dragon_morale	elo_hlf_dragon
unit_xp_mod	elo_hlf_dragon_xp	elo_hlf_dragon
unit_damage_resistance_physical_mod	elo_hlf_dragon_res	elo_hlf_dragon
morale	elo_hlf_ogre_morale	elo_hlf_ogre
unit_xp_mod	elo_hlf_ogre_xp	elo_hlf_ogre
melee_damage_mod_add	elo_hlf_ogre_dmg	elo_hlf_ogre
unit_fatigue_resistance_mod	elo_eagle_fatigue_res	elo_hlf_eagle
unit_damage_resistance_missile_mod	elo_hlf_monster_missile_res	elo_hlf_monster
melee_defence_mod	elo_sheriff_attk	elo_hlf_sheriff
melee_attack_mod	elo_sheriff_def	elo_hlf_sheriff
damage_vs_large_entities	elo_hlf_cooks_vsL	elo_hlf_cooks
ammo_mod	elo_hlf_artillery_ammo	elo_hlf_artillery
missile_damage_ap_mod_mult	elo_hlf_artillery_dmg	elo_hlf_artillery
missile_damage_mod_mult	elo_hlf_artillery_dmg	elo_hlf_artillery
upkeep_mod	elo_hlf_emp_upkeep	wh2_dlc13_emp_imperial_supply
unit_xp_mod	elo_hlf_emp_rank	wh2_dlc13_emp_imperial_supply
morale	elo_hlf_emp_morale	wh2_dlc13_emp_imperial_supply
armour_mod	elo_hlf_emp_armour	wh2_dlc13_emp_imperial_supply
melee_damage_ap_mod_mult	elo_hlf_emp_dmg	wh2_dlc13_emp_imperial_supply
melee_damage_mod_mult	elo_hlf_emp_dmg	wh2_dlc13_emp_imperial_supply
missile_damage_ap_mod_mult	elo_hlf_emp_ranged_dmg	wh2_dlc13_emp_imperial_supply
missile_damage_mod_mult	elo_hlf_emp_ranged_dmg	wh2_dlc13_emp_imperial_supply
mod_land_movement_battle	elo_hlf_supply_speed	elo_hlf_supply
