battle_entity_stats_tables	2
key	primary_melee_weapon	primary_missile_weapon
ovn_arb_elephant_cannon		ovn_arb_elephant_cannon
ovn_mtl_inf_chuckwagon_rider		
ovn_arb_inf_djinn_vessel		
ovn_arb_cha_magician_life	wh_main_emp_sword_caster	
ovn_arb_cha_magician_desert	wh_main_emp_sword_caster	
ovn_arb_cha_magician_fire	wh_main_emp_sword_caster	
ovn_arb_cha_magician_heavens	wh_main_emp_sword_caster	
wh_main_arb_elephant_archer		wh_main_brt_longbow
ovn_arb_cav_scorpion_rider		
grudgebringer_infantry_officer	grudgebringer_infantry_sword_officer	
grudgebringer_cavalry_officer	grudgebringer_cavalry_sword_officer	
azguz_bloodfist_dwarf_warriors_officer	wh_dlc06_dwf_axe_dragonfire	
dargrimm_firebeard_dwarf_warriors_officer	wh_dlc06_dwf_axe_dragonfire	
carlsson_cavalry_officer	wh_dlc07_brt_sword_great_questing	
black_avangers_officer	black_avangers_sword_officer	
countess_guard_officer	wh_dlc04_emp_sigmars_sons_sword	
countess_guard_officer1	wh_main_emp_sword_great	
vannheim_75th_officer	vannheim_75th_sword	
wh_main_emp_officer_morgan_bernhardt	grudgebringer_cavalry_sword_officer	
wh_main_emp_officer_eric_ragnar	wh_main_dwf_axe_hero_lord	
arb_fatandira_stats		arb_fatandira_bow
arb_golden_magus_skiff_djinn_oarmen	wh_main_vmp_scythe_cairnwraith	
hlf_moot_general_poultry_mount_rider	wh_main_emp_sword_hero_general	
hlf_moot_master_chef_wagon_rider	wh_main_emp_sword_hero	
hlf_sheriff_pig_rider	hlf_sheriff_bigstick	
wh_main_dwf_dwarf_tank_turret		wh_main_dwf_dwarf_tank_steam_gun
ovn_mon_mammoth_rider		wh_main_brt_longbow
ovn_arb_flying_carpet_rider	ovn_arb_flying_carpet_rider	ovn_arb_flying_carpet_bow
ovn_arb_flying_carpet_ror_rider	ovn_arb_flying_carpet_rider	ovn_arb_flying_carpet_bow_ror
ovn_arb_cha_magician_rider	wh_main_emp_sword_caster	
cr_hef_lothern_skycutter_bolt_thrower		cr_hef_skycutter_bolt_thrower_bolt
cr_hef_lothern_skycutter_rider_spear	wh2_main_hef_spear	
cr_hef_lothern_skycutter_rider_bow		cr_hef_longbow_arrow_lothern_skycutter
