special_ability_groups_to_units_junctions_tables	0
ability_group	unit
wh_dlc05_lore_life	ovn_arb_cha_magician_life_0
ovn_lore_desert	ovn_arb_cha_magician_desert_0
wh_main_lore_fire	ovn_arb_cha_magician_fire_0
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_0
wh_dlc05_lore_life	ovn_arb_cha_magician_life_1
ovn_lore_desert	ovn_arb_cha_magician_desert_1
wh_main_lore_fire	ovn_arb_cha_magician_fire_1
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_1
wh_dlc05_lore_life	ovn_arb_cha_magician_life_2
ovn_lore_desert	ovn_arb_cha_magician_desert_2
wh_main_lore_fire	ovn_arb_cha_magician_fire_2
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_2
ovn_lore_desert	ovn_araby_ll
ovn_lore_desert	ovn_araby_ll_mount
ovn_lore_desert	roy_arb_cha_lord_horse
ovn_lore_desert	wh_main_arb_cha_sheikh_2
