land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
ovn_hero_abilities_summon_sea_nymph	ovn_arb_cha_magician_life_1
ovn_hero_abilities_summon_desert_spirit	ovn_arb_cha_magician_desert_1
ovn_hero_abilities_summon_fire_efreet	ovn_arb_cha_magician_fire_1
ovn_hero_abilities_summon_tempest_djinn	ovn_arb_cha_magician_heavens_1
ovn_unit_passive_genie_deco	ovn_arb_mon_genie
ovn_unit_passive_sea_nymph_deco	ovn_arb_mon_sea_nymph
ovn_unit_passive_desert_spirit_deco	ovn_arb_mon_desert_spirit
ovn_unit_passive_fire_efreet_deco	ovn_arb_mon_fire_efreet
ovn_unit_passive_tempest_djinn_deco	ovn_arb_mon_tempest_djinn
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_sea_nymph
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_desert_spirit
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_fire_efreet
ovn_unit_passive_unbinding_djinn	ovn_arb_mon_tempest_djinn
wh_main_spell_bound_chain_lightning_ror	ovn_arb_mon_genie
wh_main_spell_bound_chain_lightning_ror	ovn_arb_mon_tempest_djinn
wh2_dlc11_lord_abilities_wraith_storm	ovn_arb_mon_sea_nymph
wh2_dlc09_lord_abilities_sand_storm	ovn_arb_mon_genie
wh2_dlc09_lord_abilities_sand_storm	ovn_arb_mon_desert_spirit
wh_main_spell_bound_fireball	ovn_arb_mon_genie
wh_main_spell_bound_fireball	ovn_arb_mon_fire_efreet
