key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
#battle_personalities_tables;9;db/battle_personalities_tables/ovn							
ovn_mtl_reaper_rider_0	hu3_dwarf_axe_and_shield	autonomous_rider	ovn_mtl_reaper_rider	wh_main_dwf_inf_dwarfs_blood_dismembers	ap_crewposition_0		false
ovn_mtl_reaper_rider_1	hu3_dwarf_axe_and_shield	autonomous_rider	ovn_mtl_reaper_rider	wh_main_dwf_inf_dwarfs_blood_dismembers	ap_crewposition_1		false
ovn_mtl_reaper_rider_blade	default_skeleton	autonomous_rider	ovn_mtl_reaper_blade	wh_main_dwf_inf_dwarfs_blood_dismembers	ap_bladeposition_0		false
dread_wh2_dlc09_tmb_chariot_rider_0	hu1_tomb_wm_tomb_chariot01_whip	autonomous_rider	dread_wh2_dlc09_tmb_skeleton_charioteer_whip	wh2_dlc09_tmb_skeleton	ap_crewposition_0		false
dread_wh2_dlc09_tmb_chariot_rider_1	hu1_tomb_wm_tomb_chariot01_2handed_halberd	autonomous_rider	dread_wh2_dlc09_tmb_skeleton_halberd	wh2_dlc09_tmb_skeleton_chariot	ap_crewposition_1		false
dread_wh2_dlc09_tmb_chariot_rider_1_archer	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider	dread_wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
dread_wh2_dlc09_tmb_warsphinx_rider_0	hu1_tomb_wb_bigcat01_bow	autonomous_rider	elo_tomb_guardian_archers	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
dread_wh2_dlc09_tmb_warsphinx_rider_1	hu1_tomb_wb_bigcat01_bow	autonomous_rider	elo_tomb_guardian_archers	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_2	wh2_dlc09_tmb_chariot_bow	false
dread_wh2_dlc09_tmb_warsphinx_rider_2	hu1_tomb_wb_bigcat01_bow	autonomous_rider	elo_tomb_guardian_archers	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_3	wh2_dlc09_tmb_chariot_bow	false
dread_wh2_dlc09_tmb_warsphinx_rider_3	hu1_tomb_wb_bigcat01_bow	autonomous_rider	elo_tomb_guardian_archers	wh2_dlc09_tmb_warsphinx_rider_360	ap_crewposition_4	wh2_dlc09_tmb_chariot_bow	false
