land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
war_fury	albion_shieldmaiden_ror
wh_pro04_unit_passive_guardian	albion_shieldmaiden_ror
elo_champion_of_albion	albion_bologs_giant_ror
elo_albion_bologs	albion_bologs_giant_ror
elo_hengus_blessing	albion_bologs_giant_ror
woad_paint	albion_bologs_giant_ror
wh_main_unit_passive_regeneration	elo_fly_infested_rotwood
wh_main_unit_passive_unstable	elo_fly_infested_rotwood
wh_main_unit_passive_unstable_mark_ii	elo_fly_infested_rotwood
wh_main_hero_passive_swarm_of_flies	elo_fly_infested_rotwood
magic_siphon	elo_fly_infested_rotwood
war_fury	albion_woadraider_sworn_ror
wh_main_unit_passive_frenzy	albion_woadraider_sworn_ror
woad_paint	albion_woadraider_sworn_ror
war_fury	alb_cav_noble_first_ror
devestating_charge	alb_cav_noble_first_ror
elo_albion_something_prove	alb_cav_noble_first_ror
war_fury	albion_warriors_lugh
war_fury	albion_huntresses_warden_ror
war_fury	albion_centaur_hunter_ror
woad_paint	albion_centaur_hunter_ror
wh_dlc03_unit_passive_drunken	albion_centaur_hunter_ror
war_fury_2	albion_centaur_hunter_ror
woad_paint	albion_cachtorr_stonethrower
elo_hengus_blessing	albion_cachtorr_stonethrower
war_fury	albion_highlander_ror
wh_main_unit_passive_deathblow	albion_highlander_ror
elo_albion_freedom	albion_highlander_ror
