culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
hu1_bretonnian_sword_and_longbow	wh_main_emp_empire
hu3_dwarf_axe_shield_and_crossbow	wh_main_emp_empire
hc2_treekin	wh_main_emp_empire
hu21_treeman	wh_main_emp_empire
bi1_eagle	wh_main_emp_empire
hu20_dryads	wh_main_emp_empire
hu3_dwarf_2handed_axe	wh_main_emp_empire
hu3_dwarf_axe_and_shield	wh_main_emp_empire
hu2_orc_dual_swords	wh_main_emp_empire
hu3_dwarf_axe_and_shield_thane	wh_main_emp_empire
hu3_dwarf_dual_axe_slayer	wh_main_emp_empire
wm_rock_lobber01	wh_main_emp_empire
bo1_razorgor	wh_main_emp_empire
hu7b_saurus_rp3_cold_one_spear_and_shield	wh_main_emp_empire
rp3_cold_one	wh_main_emp_empire
hu3_dwarf_hammer	wh_main_emp_empire
bo1_warboar	wh_main_emp_empire
wf1_giant_wolf	wh_main_emp_empire
wm_bolt_thrower02	wh_main_emp_empire
hu3_dwarf_axe_shield_rifle	wh_main_emp_empire
hu3_glibfoot_sword_and_crossbow	wh_main_emp_empire
hu3_halfling_2handed_weapon	wh_main_emp_empire
hu3_halfling_weapon_and_shield	wh_main_emp_empire
hu3_halfling_weapon_and_shield_lord	wh_main_emp_empire
hu3_dwarf_axe_shield_and_bow	wh_main_emp_empire
hu3_halfling_bo1_axe_and_shield	wh_main_emp_empire
hu3_halfling_bo1_twohand	wh_main_emp_empire
