key	faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	unit_variant	subculture
#unit_variants_colours_tables;5;db/unit_variants_colours_tables/ovn_albion													
808891004	wh2_main_nor_albion	200	220	225	140	80	60	soldier	30	30	140	albion_huntresses	
808891005	wh2_main_nor_albion	200	220	225	140	80	60	soldier	30	30	140	albion_hearthguard	
808891006	wh2_main_nor_albion	200	220	225	140	80	60	soldier	30	30	140	albion_hearthguard_halberd	
808891007	wh2_main_nor_albion	200	220	225	140	80	60	soldier	30	30	140	albion_hearthguard_2h	
808891008	wh2_main_nor_albion	200	220	225	140	80	60	soldier	30	30	140	ovn_barrow_wight	
112233441	wh2_main_nor_albion	127	233	255	0	0	127	soldier	0	0	127	albion_shieldmaiden_ror	
112233442	wh2_main_nor_albion	0	0	150	0	0	150	soldier	0	0	150	albion_woadraider_sworn_ror	
112233443	wh2_main_nor_albion	0	0	150	121	158	114	soldier	0	0	150	alb_cav_noble_first_ror	
112233444	wh2_main_nor_albion	0	102	205	0	0	127	soldier	0	0	150	albion_warriors_lugh	
112233445	wh2_main_nor_albion	103	124	115	121	158	114	soldier	0	0	150	albion_huntresses_warden_ror	
112233446	wh2_main_nor_albion	0	0	150	255	243	30	soldier	0	0	150	albion_centaur_hunter_ror	
112233447	wh2_main_nor_albion	33	89	0	32	4	124	soldier	0	0	150	albion_highlander_ror	
112233448	wh2_main_nor_albion	21	105	0	0	225	229	soldier	0	0	255	albion_cachtorr_stonethrower	
112233449	wh2_main_nor_albion	0	0	150	0	0	150	soldier	0	0	150	albion_bologs_giant_ror	
