ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
regeneration	elo_fenbeast
armour_piercing	elo_fenbeast
shielded	elo_albion_warriors
woad_paint	druid_neophytes
spellcaster	druid_neophytes
woad_paint	elo_woadraider
frenzy	elo_woadraider
anti_infantry	albion_stonethrower
armour_piercing_ranged	albion_stonethrower
very_fast	elo_bloodhounds
weak_anti_armour	elo_bloodhounds
vanguard_deployment	elo_bloodhounds
anti_large	elo_youngbloods
woad_paint	albion_giant
armour_piercing	albion_giant
armour_piercing	elo_albion_warriors_2h
anti_large	elo_albion_warriors_spears
charge_reflector_vs_large	elo_albion_warriors_spears
very_fast	albion_riders
vanguard_deployment	albion_riders
shielded	albion_riders
vanguard_deployment	albion_huntresses
fire_whilst_moving	albion_huntresses
good_range	albion_huntresses
very_fast	albion_riders_javelins
vanguard_deployment	albion_riders_javelins
fire_whilst_moving	albion_riders_javelins
disciplined	albion_hearthguard
armoured_and_shielded	albion_hearthguard
disciplined	albion_hearthguard_halberd
armour_piercing	albion_hearthguard_halberd
charge_reflector_vs_large	albion_hearthguard_halberd
anti_large	albion_hearthguard_halberd
disciplined	albion_hearthguard_2h
armour_piercing	albion_hearthguard_2h
incredible_will	albion_hearthguard_2h
anti_infantry	albion_hearthguard_2h
devestating_charge	albion_swordmaiden
woad_paint	albion_swordmaiden
anti_infantry	albion_swordmaiden
devestating_charge	albion_chariot
anti_infantry	albion_chariot
armour_piercing	albion_chariot
woad_paint	albion_truthsayer_beast
spellcaster	albion_truthsayer_beast
woad_paint	albion_truthsayer_life
spellcaster	albion_truthsayer_life
woad_paint	albion_truthsayer_beast_horse
spellcaster	albion_truthsayer_beast_horse
woad_paint	albion_truthsayer_life_horse
spellcaster	albion_truthsayer_life_horse
woad_paint	albion_truthsayer_light_horse
spellcaster	albion_truthsayer_light_horse
woad_paint	albion_truthsayer_light
spellcaster	albion_truthsayer_light
woad_paint	albion_truthsayer_truth
spellcaster	albion_truthsayer_truth_horse
spellcaster	albion_truthsayer_truth
woad_paint	albion_truthsayer_truth_horse
woad_paint	albion_centaurs
armour_piercing	albion_centaurs
very_fast	albion_centaurs
regeneration	albion_fenhulk
armour_piercing	albion_fenhulk
defender	albion_fenhulk
terror	albion_fenhulk
armoured_and_shielded	albion_warleader
armoured_and_shielded	albion_warleader_horse
armoured_and_shielded	albion_warleader_chariot
devestating_charge	albion_warleader_chariot
armour_piercing	albion_warleader_chariot
anti_infantry	albion_warleader_chariot
armour_piercing	albion_chief
anti_large	albion_chief
armour_piercing	albion_chief_horse
anti_large	albion_chief_horse
devestating_charge	albion_chief_chariot
armour_piercing	albion_chief_chariot
armoured	albion_chief_chariot
anti_infantry	albion_chief_chariot
spellcaster	albion_morrigan
spellcaster	albion_morrigan_bird
very_fast	albion_morrigan_bird
damage_dealer	albion_half_giants
spellcaster	albion_wyrd_druid
woad_paint	albion_wyrd_druid
spellcaster	albion_wyrd_druid_horse
woad_paint	albion_wyrd_druid_horse
anti_large	albion_half_giants
poison	elo_albion_barghest
stalk	elo_albion_barghest
frenzy	elo_albion_barghest
vanguard_deployment	elo_albion_barghest
anti_infantry	ovn_barrow_wight
armoured_and_shielded	ovn_barrow_wight
armour_piercing_ranged	elo_albion_gryphon
anti_large	elo_albion_gryphon
armoured_and_shielded	albion_shieldmaiden_ror
anti_large	albion_shieldmaiden_ror
charge_reflector	albion_shieldmaiden_ror
woad_paint	albion_bologs_giant_ror
armour_piercing	albion_bologs_giant_ror
anti_infantry	albion_woadraider_sworn_ror
woad_paint	albion_woadraider_sworn_ror
unbreakable	albion_woadraider_sworn_ror
frenzy	albion_woadraider_sworn_ror
armoured_and_shielded	alb_cav_noble_first_ror
disciplined	alb_cav_noble_first_ror
devestating_charge	alb_cav_noble_first_ror
something_prove	alb_cav_noble_first_ror
shielded	albion_warriors_lugh
disciplined	albion_warriors_lugh
servants_lugh	albion_warriors_lugh
armour_piercing_ranged	albion_huntresses_warden_ror
decent_melee	albion_huntresses_warden_ror
charge_reflector_vs_large	albion_huntresses_warden_ror
stalk	albion_huntresses_warden_ror
armour_piercing_ranged	albion_centaur_hunter_ror
woad_paint	albion_centaur_hunter_ror
anti_large	albion_centaur_hunter_ror
fire_whilst_moving	albion_centaur_hunter_ror
armour_piercing	albion_cachtorr_stonethrower
anti_infantry	albion_cachtorr_stonethrower
woad_paint	albion_cachtorr_stonethrower
terror	albion_cachtorr_stonethrower
armour_piercing	albion_highlander_ror
anti_infantry	albion_highlander_ror
incredible_will	albion_highlander_ror
deathblow	albion_highlander_ror
armour_piercing	elo_dread_centurion
armoured	elo_dread_centurion
anti_large	elo_dread_centurion
armour_piercing	elo_dread_centurion_horse
armoured	elo_dread_centurion_horse
anti_large	elo_dread_centurion_horse
armour_piercing	elo_dread_centurion_barded_horse
armoured	elo_dread_centurion_barded_horse
anti_large	elo_dread_centurion_barded_horse
armour_piercing	elo_dread_centurion_chariot
armoured	elo_dread_centurion_chariot
anti_infantry	elo_dread_centurion_chariot
