technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
scimitar_tech_bad_2	0	scimitar_tech_bad_1	2	4	0.0	0.0
scimitar_tech_bad_3	0	scimitar_tech_bad_2	2	4	0.0	0.0
scimitar_tech_bad_4	0	scimitar_tech_bad_2	2	4	0.0	0.0
scimitar_tech_bad_5	0	scimitar_tech_bad_2	2	4	0.0	0.0
scimitar_tech_bad_7	0	scimitar_tech_bad_3	2	4	0.0	0.0
scimitar_tech_bad_8	0	scimitar_tech_bad_4	2	4	0.0	0.0
scimitar_tech_bad_6	0	scimitar_tech_bad_7	1	3	0.0	0.0
scimitar_tech_good_2	0	scimitar_tech_good_1	2	4	0.0	0.0
scimitar_tech_good_3	0	scimitar_tech_good_2	2	4	0.0	0.0
scimitar_tech_good_4	0	scimitar_tech_good_2	2	4	0.0	0.0
scimitar_tech_good_5	0	scimitar_tech_good_2	2	4	0.0	0.0
scimitar_tech_good_6	0	scimitar_tech_good_4	2	4	0.0	0.0
scimitar_tech_good_7	0	scimitar_tech_good_5	2	4	0.0	0.0
scimitar_tech_good_8	0	scimitar_tech_good_7	3	1	0.0	0.0
scimitar_tech_neu_eco_3	0	scimitar_tech_neu_eco_4	1	3	0.0	0.0
scimitar_tech_good_9	0	scimitar_tech_good_2	1	3	0.0	0.0
scimitar_tech_bad_9	0	scimitar_tech_bad_2	3	1	0.0	0.0
